,Financial Year,Quarter Ending,Quarter,County,City,County_City,key,GDP
25,2018,12/31/2017,2,1,2,1_2,123120172,226409.0
26,2018,03/31/2018,3,1,2,1_2,33120182,226988.0
27,2018,06/30/2018,4,1,2,1_2,63020182,191929.0
28,2019,09/30/2018,1,1,2,1_2,93020182,279004.0
29,2019,12/31/2018,2,1,2,1_2,123120182,264105.0
30,2019,03/31/2019,3,1,2,1_2,33120192,179533.0
31,2019,06/30/2019,4,1,2,1_2,63020192,231292.0
32,2020,09/30/2019,1,1,2,1_2,93020192,336574.0
33,2020,12/31/2019,2,1,2,1_2,123120192,347587.0
34,2020,03/31/2020,3,1,2,1_2,33120202,329265.0
35,2020,06/30/2020,4,1,2,1_2,63020202,325003.0
36,2021,09/30/2020,1,1,2,1_2,93020202,361746.0
37,2021,12/31/2020,2,1,2,1_2,123120202,377663.0
38,2021,03/31/2021,3,1,2,1_2,33120212,307785.0
39,2021,06/30/2021,4,1,2,1_2,63020212,306362.0
40,2022,09/30/2021,1,1,2,1_2,93020212,420618.0
41,2022,12/31/2021,2,1,2,1_2,123120212,418071.0
42,2022,03/31/2022,3,1,2,1_2,33120222,338736.0
43,2022,06/30/2022,4,1,2,1_2,63020222,317058.0
0,2012,09/30/2011,1,1,4,1_4,93020114,1217199.86
1,2012,12/31/2011,2,1,4,1_4,123120114,1176082.0
2,2012,03/31/2012,3,1,4,1_4,33120124,1001990.0
3,2012,06/30/2012,4,1,4,1_4,63020124,742537.0
4,2013,09/30/2012,1,1,4,1_4,93020124,1003430.0
5,2013,12/31/2012,2,1,4,1_4,123120124,1023782.0
6,2013,03/31/2013,3,1,4,1_4,33120134,804369.0
7,2013,06/30/2013,4,1,4,1_4,63020134,745471.0
8,2014,09/30/2013,1,1,4,1_4,93020134,1105466.0
9,2014,12/31/2013,2,1,4,1_4,123120134,1022439.0
10,2014,03/31/2014,3,1,4,1_4,33120144,936997.0
11,2014,06/30/2014,4,1,4,1_4,63020144,757413.0
12,2015,09/30/2014,1,1,4,1_4,93020144,1046638.0
13,2015,12/31/2014,2,1,4,1_4,123120144,947290.0
14,2015,03/31/2015,3,1,4,1_4,33120154,884894.0
15,2015,06/30/2015,4,1,4,1_4,63020154,671528.0
16,2016,09/30/2015,1,1,4,1_4,93020154,883904.0
17,2016,12/31/2015,2,1,4,1_4,123120154,1007582.0
18,2016,03/31/2016,3,1,4,1_4,33120164,699281.0
19,2016,06/30/2016,4,1,4,1_4,63020164,629121.0
20,2016,09/30/2016,1,1,4,1_4,93020164,869700.0
21,2016,12/31/2016,2,1,4,1_4,123120164,1029286.0
22,2017,03/31/2017,3,1,4,1_4,33120174,794098.0
23,2017,06/30/2017,4,1,4,1_4,63020174,634310.0
24,2018,09/30/2017,1,1,4,1_4,93020174,994488.0
25,2018,12/31/2017,2,1,4,1_4,123120174,911709.0
26,2018,03/31/2018,3,1,4,1_4,33120184,821217.0
27,2018,06/30/2018,4,1,4,1_4,63020184,709252.0
28,2019,09/30/2018,1,1,4,1_4,93020184,1062888.0
29,2019,12/31/2018,2,1,4,1_4,123120184,975604.0
30,2019,03/31/2019,3,1,4,1_4,33120194,864712.0
31,2019,06/30/2019,4,1,4,1_4,63020194,760441.0
32,2020,09/30/2019,1,1,4,1_4,93020194,1088132.0
33,2020,12/31/2019,2,1,4,1_4,123120194,1116972.0
34,2020,03/31/2020,3,1,4,1_4,33120204,1034005.0
35,2020,06/30/2020,4,1,4,1_4,63020204,814120.0
36,2021,09/30/2020,1,1,4,1_4,93020204,1140984.0
37,2021,12/31/2020,2,1,4,1_4,123120204,1071929.0
38,2021,03/31/2021,3,1,4,1_4,33120214,1071572.0
39,2021,06/30/2021,4,1,4,1_4,63020214,759232.0
40,2022,09/30/2021,1,1,4,1_4,93020214,1194016.0
41,2022,12/31/2021,2,1,4,1_4,123120214,1196283.0
42,2022,03/31/2022,3,1,4,1_4,33120224,855947.0
43,2022,06/30/2022,4,1,4,1_4,63020224,779206.0
0,2012,09/30/2011,1,1,5,1_5,93020115,9893166.57
1,2012,12/31/2011,2,1,5,1_5,123120115,9251991.0
2,2012,03/31/2012,3,1,5,1_5,33120125,8513507.0
3,2012,06/30/2012,4,1,5,1_5,63020125,8653494.0
4,2013,09/30/2012,1,1,5,1_5,93020125,10771429.0
5,2013,12/31/2012,2,1,5,1_5,123120125,9809940.0
6,2013,03/31/2013,3,1,5,1_5,33120135,9543180.0
7,2013,06/30/2013,4,1,5,1_5,63020135,7990749.0
8,2014,09/30/2013,1,1,5,1_5,93020135,9130865.0
9,2014,12/31/2013,2,1,5,1_5,123120135,9273241.0
10,2014,03/31/2014,3,1,5,1_5,33120145,8106858.0
11,2014,06/30/2014,4,1,5,1_5,63020145,7024076.0
12,2015,09/30/2014,1,1,5,1_5,93020145,7619385.0
13,2015,12/31/2014,2,1,5,1_5,123120145,7472901.0
14,2015,03/31/2015,3,1,5,1_5,33120155,7271823.0
15,2015,06/30/2015,4,1,5,1_5,63020155,6728916.0
16,2016,09/30/2015,1,1,5,1_5,93020155,7698695.0
17,2016,12/31/2015,2,1,5,1_5,123120155,7573063.0
18,2016,03/31/2016,3,1,5,1_5,33120165,7350322.0
19,2016,06/30/2016,4,1,5,1_5,63020165,6710265.0
20,2016,09/30/2016,1,1,5,1_5,93020165,7752861.0
21,2016,12/31/2016,2,1,5,1_5,123120165,7978589.0
22,2017,03/31/2017,3,1,5,1_5,33120175,7329893.0
23,2017,06/30/2017,4,1,5,1_5,63020175,6736061.0
24,2018,09/30/2017,1,1,5,1_5,93020175,7334538.0
25,2018,12/31/2017,2,1,5,1_5,123120175,7484822.0
26,2018,03/31/2018,3,1,5,1_5,33120185,7418030.0
27,2018,06/30/2018,4,1,5,1_5,63020185,6825972.0
28,2019,09/30/2018,1,1,5,1_5,93020185,7711463.0
29,2019,12/31/2018,2,1,5,1_5,123120185,7296229.0
30,2019,03/31/2019,3,1,5,1_5,33120195,7149869.0
31,2019,06/30/2019,4,1,5,1_5,63020195,6710126.0
32,2020,09/30/2019,1,1,5,1_5,93020195,7906105.0
33,2020,12/31/2019,2,1,5,1_5,123120195,7379276.0
34,2020,03/31/2020,3,1,5,1_5,33120205,7370372.0
35,2020,06/30/2020,4,1,5,1_5,63020205,6523957.0
36,2021,09/30/2020,1,1,5,1_5,93020205,7015312.0
37,2021,12/31/2020,2,1,5,1_5,123120205,6804188.0
38,2021,03/31/2021,3,1,5,1_5,33120215,6467090.0
39,2021,06/30/2021,4,1,5,1_5,63020215,5389773.0
40,2022,09/30/2021,1,1,5,1_5,93020215,5884201.0
41,2022,12/31/2021,2,1,5,1_5,123120215,6228883.0
42,2022,03/31/2022,3,1,5,1_5,33120225,7281846.0
43,2022,06/30/2022,4,1,5,1_5,63020225,5436626.0
0,2012,09/30/2011,1,1,6,1_6,93020116,574363.73
1,2012,12/31/2011,2,1,6,1_6,123120116,333127.0
2,2012,03/31/2012,3,1,6,1_6,33120126,410459.0
3,2012,06/30/2012,4,1,6,1_6,63020126,500835.0
4,2013,09/30/2012,1,1,6,1_6,93020126,497314.0
5,2013,12/31/2012,2,1,6,1_6,123120126,552368.0
6,2013,03/31/2013,3,1,6,1_6,33120136,450591.0
7,2013,06/30/2013,4,1,6,1_6,63020136,373866.0
8,2014,09/30/2013,1,1,6,1_6,93020136,352797.0
9,2014,12/31/2013,2,1,6,1_6,123120136,275966.0
10,2014,03/31/2014,3,1,6,1_6,33120146,320983.0
11,2014,06/30/2014,4,1,6,1_6,63020146,327089.0
12,2015,09/30/2014,1,1,6,1_6,93020146,348444.0
13,2015,12/31/2014,2,1,6,1_6,123120146,333026.0
14,2015,03/31/2015,3,1,6,1_6,33120156,278293.0
15,2015,06/30/2015,4,1,6,1_6,63020156,373664.0
16,2016,09/30/2015,1,1,6,1_6,93020156,434171.0
17,2016,12/31/2015,2,1,6,1_6,123120156,449113.0
18,2016,03/31/2016,3,1,6,1_6,33120166,372058.0
19,2016,06/30/2016,4,1,6,1_6,63020166,409264.0
20,2016,09/30/2016,1,1,6,1_6,93020166,469816.0
21,2016,12/31/2016,2,1,6,1_6,123120166,310511.0
22,2017,03/31/2017,3,1,6,1_6,33120176,275199.0
23,2017,06/30/2017,4,1,6,1_6,63020176,324737.0
24,2018,09/30/2017,1,1,6,1_6,93020176,331178.0
25,2018,12/31/2017,2,1,6,1_6,123120176,318086.0
26,2018,03/31/2018,3,1,6,1_6,33120186,265019.0
27,2018,06/30/2018,4,1,6,1_6,63020186,255948.0
28,2019,09/30/2018,1,1,6,1_6,93020186,319814.0
29,2019,12/31/2018,2,1,6,1_6,123120186,251397.0
30,2019,03/31/2019,3,1,6,1_6,33120196,275627.0
31,2019,06/30/2019,4,1,6,1_6,63020196,254757.0
32,2020,09/30/2019,1,1,6,1_6,93020196,335809.0
33,2020,12/31/2019,2,1,6,1_6,123120196,356359.0
34,2020,03/31/2020,3,1,6,1_6,33120206,196404.0
35,2020,06/30/2020,4,1,6,1_6,63020206,213713.0
36,2021,09/30/2020,1,1,6,1_6,93020206,356331.0
37,2021,12/31/2020,2,1,6,1_6,123120206,238151.0
38,2021,03/31/2021,3,1,6,1_6,33120216,224841.0
39,2021,06/30/2021,4,1,6,1_6,63020216,188756.0
40,2022,09/30/2021,1,1,6,1_6,93020216,254555.0
41,2022,12/31/2021,2,1,6,1_6,123120216,260851.0
42,2022,03/31/2022,3,1,6,1_6,33120226,273759.0
43,2022,06/30/2022,4,1,6,1_6,63020226,225621.0
0,2012,09/30/2011,1,1,7,1_7,93020117,1075603.26
1,2012,12/31/2011,2,1,7,1_7,123120117,830975.0
2,2012,03/31/2012,3,1,7,1_7,33120127,958577.0
3,2012,06/30/2012,4,1,7,1_7,63020127,677328.0
4,2013,09/30/2012,1,1,7,1_7,93020127,827071.0
5,2013,12/31/2012,2,1,7,1_7,123120127,1847091.0
6,2013,03/31/2013,3,1,7,1_7,33120137,1526113.0
7,2013,06/30/2013,4,1,7,1_7,63020137,603365.0
8,2014,09/30/2013,1,1,7,1_7,93020137,1034124.0
9,2014,12/31/2013,2,1,7,1_7,123120137,1183587.0
10,2014,03/31/2014,3,1,7,1_7,33120147,1953301.0
11,2014,06/30/2014,4,1,7,1_7,63020147,1439715.0
12,2015,09/30/2014,1,1,7,1_7,93020147,538485.0
13,2015,12/31/2014,2,1,7,1_7,123120147,1812693.0
14,2015,03/31/2015,3,1,7,1_7,33120157,2332665.0
15,2015,06/30/2015,4,1,7,1_7,63020157,1519497.0
16,2016,09/30/2015,1,1,7,1_7,93020157,2864639.0
17,2016,12/31/2015,2,1,7,1_7,123120157,2605753.0
18,2016,03/31/2016,3,1,7,1_7,33120167,2301998.0
19,2016,06/30/2016,4,1,7,1_7,63020167,1150347.0
20,2016,09/30/2016,1,1,7,1_7,93020167,2450564.0
21,2016,12/31/2016,2,1,7,1_7,123120167,664442.0
22,2017,03/31/2017,3,1,7,1_7,33120177,1128181.0
23,2017,06/30/2017,4,1,7,1_7,63020177,703570.0
24,2018,09/30/2017,1,1,7,1_7,93020177,806140.0
25,2018,12/31/2017,2,1,7,1_7,123120177,1008049.0
26,2018,03/31/2018,3,1,7,1_7,33120187,980289.0
27,2018,06/30/2018,4,1,7,1_7,63020187,746733.0
28,2019,09/30/2018,1,1,7,1_7,93020187,800746.0
29,2019,12/31/2018,2,1,7,1_7,123120187,788974.0
30,2019,03/31/2019,3,1,7,1_7,33120197,949916.0
31,2019,06/30/2019,4,1,7,1_7,63020197,803168.0
32,2020,09/30/2019,1,1,7,1_7,93020197,846730.0
33,2020,12/31/2019,2,1,7,1_7,123120197,914716.0
34,2020,03/31/2020,3,1,7,1_7,33120207,841515.0
35,2020,06/30/2020,4,1,7,1_7,63020207,647761.0
36,2021,09/30/2020,1,1,7,1_7,93020207,686580.0
37,2021,12/31/2020,2,1,7,1_7,123120207,788983.0
38,2021,03/31/2021,3,1,7,1_7,33120217,690451.0
39,2021,06/30/2021,4,1,7,1_7,63020217,497680.0
40,2022,09/30/2021,1,1,7,1_7,93020217,713293.0
41,2022,12/31/2021,2,1,7,1_7,123120217,1022938.0
42,2022,03/31/2022,3,1,7,1_7,33120227,949866.0
43,2022,06/30/2022,4,1,7,1_7,63020227,575726.0
0,2012,09/30/2011,1,1,8,1_8,93020118,6543031.22
1,2012,12/31/2011,2,1,8,1_8,123120118,6846123.0
2,2012,03/31/2012,3,1,8,1_8,33120128,6737431.0
3,2012,06/30/2012,4,1,8,1_8,63020128,1967653.0
4,2013,09/30/2012,1,1,8,1_8,93020128,2641084.0
5,2013,12/31/2012,2,1,8,1_8,123120128,2535004.0
6,2013,03/31/2013,3,1,8,1_8,33120138,2790944.0
7,2013,06/30/2013,4,1,8,1_8,63020138,2370781.0
8,2014,09/30/2013,1,1,8,1_8,93020138,2759394.0
9,2014,12/31/2013,2,1,8,1_8,123120138,3231391.0
10,2014,03/31/2014,3,1,8,1_8,33120148,5107845.0
11,2014,06/30/2014,4,1,8,1_8,63020148,4066560.0
12,2015,09/30/2014,1,1,8,1_8,93020148,4114391.0
13,2015,12/31/2014,2,1,8,1_8,123120148,5531532.0
14,2015,03/31/2015,3,1,8,1_8,33120158,4722375.0
15,2015,06/30/2015,4,1,8,1_8,63020158,3714547.0
16,2016,09/30/2015,1,1,8,1_8,93020158,5218711.0
17,2016,12/31/2015,2,1,8,1_8,123120158,5682767.0
18,2016,03/31/2016,3,1,8,1_8,33120168,4954552.0
19,2016,06/30/2016,4,1,8,1_8,63020168,3163423.0
20,2016,09/30/2016,1,1,8,1_8,93020168,5133719.0
21,2016,12/31/2016,2,1,8,1_8,123120168,6476459.0
22,2017,03/31/2017,3,1,8,1_8,33120178,4451318.0
23,2017,06/30/2017,4,1,8,1_8,63020178,2971953.0
24,2018,09/30/2017,1,1,8,1_8,93020178,3364918.0
25,2018,12/31/2017,2,1,8,1_8,123120178,3934394.0
26,2018,03/31/2018,3,1,8,1_8,33120188,3504366.0
27,2018,06/30/2018,4,1,8,1_8,63020188,2569952.0
28,2019,09/30/2018,1,1,8,1_8,93020188,3048566.0
29,2019,12/31/2018,2,1,8,1_8,123120188,3387383.0
30,2019,03/31/2019,3,1,8,1_8,33120198,3131282.0
31,2019,06/30/2019,4,1,8,1_8,63020198,2420014.0
32,2020,09/30/2019,1,1,8,1_8,93020198,2981997.0
33,2020,12/31/2019,2,1,8,1_8,123120198,3660549.0
34,2020,03/31/2020,3,1,8,1_8,33120208,3324619.0
35,2020,06/30/2020,4,1,8,1_8,63020208,2480920.0
36,2021,09/30/2020,1,1,8,1_8,93020208,2817744.0
37,2021,12/31/2020,2,1,8,1_8,123120208,3521275.0
38,2021,03/31/2021,3,1,8,1_8,33120218,3162899.0
39,2021,06/30/2021,4,1,8,1_8,63020218,2216433.0
40,2022,09/30/2021,1,1,8,1_8,93020218,2719483.0
41,2022,12/31/2021,2,1,8,1_8,123120218,3316060.0
42,2022,03/31/2022,3,1,8,1_8,33120228,3012814.0
43,2022,06/30/2022,4,1,8,1_8,63020228,2127159.0
0,2012,09/30/2011,1,2,9,2_9,93020119,10092956.82
1,2012,12/31/2011,2,2,9,2_9,123120119,9375728.0
2,2012,03/31/2012,3,2,9,2_9,33120129,9538629.0
3,2012,06/30/2012,4,2,9,2_9,63020129,6826942.0
4,2013,09/30/2012,1,2,9,2_9,93020129,8050985.0
5,2013,12/31/2012,2,2,9,2_9,123120129,8728066.0
6,2013,03/31/2013,3,2,9,2_9,33120139,8310233.0
7,2013,06/30/2013,4,2,9,2_9,63020139,4749709.0
8,2014,09/30/2013,1,2,9,2_9,93020139,8372738.0
9,2014,12/31/2013,2,2,9,2_9,123120139,7819062.0
10,2014,03/31/2014,3,2,9,2_9,33120149,8564709.0
11,2014,06/30/2014,4,2,9,2_9,63020149,6981901.0
12,2015,09/30/2014,1,2,9,2_9,93020149,8261643.0
13,2015,12/31/2014,2,2,9,2_9,123120149,8771148.0
14,2015,03/31/2015,3,2,9,2_9,33120159,8580212.0
15,2015,06/30/2015,4,2,9,2_9,63020159,6681921.0
16,2016,09/30/2015,1,2,9,2_9,93020159,7992188.0
17,2016,12/31/2015,2,2,9,2_9,123120159,8312910.0
18,2016,03/31/2016,3,2,9,2_9,33120169,8361438.0
19,2016,06/30/2016,4,2,9,2_9,63020169,6698612.0
20,2016,09/30/2016,1,2,9,2_9,93020169,8115239.0
21,2016,12/31/2016,2,2,9,2_9,123120169,8587531.0
22,2017,03/31/2017,3,2,9,2_9,33120179,8437185.0
23,2017,06/30/2017,4,2,9,2_9,63020179,6854973.0
24,2018,09/30/2017,1,2,9,2_9,93020179,8027422.0
25,2018,12/31/2017,2,2,9,2_9,123120179,8577301.0
26,2018,03/31/2018,3,2,9,2_9,33120189,8042447.0
27,2018,06/30/2018,4,2,9,2_9,63020189,6772492.0
28,2019,09/30/2018,1,2,9,2_9,93020189,8435013.0
29,2019,12/31/2018,2,2,9,2_9,123120189,9238933.0
30,2019,03/31/2019,3,2,9,2_9,33120199,9067728.0
31,2019,06/30/2019,4,2,9,2_9,63020199,7299772.0
32,2020,09/30/2019,1,2,9,2_9,93020199,8599042.0
33,2020,12/31/2019,2,2,9,2_9,123120199,10264512.0
34,2020,03/31/2020,3,2,9,2_9,33120209,9050553.0
35,2020,06/30/2020,4,2,9,2_9,63020209,7346871.0
36,2021,09/30/2020,1,2,9,2_9,93020209,8952225.0
37,2021,12/31/2020,2,2,9,2_9,123120209,10745495.0
38,2021,03/31/2021,3,2,9,2_9,33120219,8532183.0
39,2021,06/30/2021,4,2,9,2_9,63020219,7089106.0
40,2022,09/30/2021,1,2,9,2_9,93020219,8558568.0
41,2022,12/31/2021,2,2,9,2_9,123120219,9003178.0
42,2022,03/31/2022,3,2,9,2_9,33120229,7635040.0
43,2022,06/30/2022,4,2,9,2_9,63020229,7038340.0
0,2012,09/30/2011,1,2,7,2_7,93020117,159750.53
1,2012,12/31/2011,2,2,7,2_7,123120117,127215.0
2,2012,03/31/2012,3,2,7,2_7,33120127,132549.0
3,2012,06/30/2012,4,2,7,2_7,63020127,159568.0
4,2013,09/30/2012,1,2,7,2_7,93020127,104160.0
5,2013,12/31/2012,2,2,7,2_7,123120127,100796.0
6,2013,03/31/2013,3,2,7,2_7,33120137,151437.0
7,2013,06/30/2013,4,2,7,2_7,63020137,197851.0
8,2014,09/30/2013,1,2,7,2_7,93020137,60202.0
9,2014,12/31/2013,2,2,7,2_7,123120137,148441.0
10,2014,03/31/2014,3,2,7,2_7,33120147,458099.0
11,2014,06/30/2014,4,2,7,2_7,63020147,445729.0
12,2015,09/30/2014,1,2,7,2_7,93020147,303418.0
13,2015,12/31/2014,2,2,7,2_7,123120147,503398.0
14,2015,03/31/2015,3,2,7,2_7,33120157,384192.0
15,2015,06/30/2015,4,2,7,2_7,63020157,221632.0
16,2016,09/30/2015,1,2,7,2_7,93020157,199441.0
17,2016,12/31/2015,2,2,7,2_7,123120157,394666.0
18,2016,03/31/2016,3,2,7,2_7,33120167,375022.0
19,2016,06/30/2016,4,2,7,2_7,63020167,186264.0
20,2016,09/30/2016,1,2,7,2_7,93020167,97174.0
21,2016,12/31/2016,2,2,7,2_7,123120167,209141.0
22,2017,03/31/2017,3,2,7,2_7,33120177,297377.0
23,2017,06/30/2017,4,2,7,2_7,63020177,185080.0
24,2018,09/30/2017,1,2,7,2_7,93020177,115309.0
25,2018,12/31/2017,2,2,7,2_7,123120177,196054.0
26,2018,03/31/2018,3,2,7,2_7,33120187,177650.0
27,2018,06/30/2018,4,2,7,2_7,63020187,188005.0
28,2019,09/30/2018,1,2,7,2_7,93020187,157305.0
29,2019,12/31/2018,2,2,7,2_7,123120187,132185.0
30,2019,03/31/2019,3,2,7,2_7,33120197,175200.0
31,2019,06/30/2019,4,2,7,2_7,63020197,137352.0
32,2020,09/30/2019,1,2,7,2_7,93020197,130025.0
33,2020,12/31/2019,2,2,7,2_7,123120197,248793.0
34,2020,03/31/2020,3,2,7,2_7,33120207,503610.0
35,2020,06/30/2020,4,2,7,2_7,63020207,153980.0
36,2021,09/30/2020,1,2,7,2_7,93020207,230158.0
37,2021,12/31/2020,2,2,7,2_7,123120207,563146.0
38,2021,03/31/2021,3,2,7,2_7,33120217,197671.0
39,2021,06/30/2021,4,2,7,2_7,63020217,146191.0
40,2022,09/30/2021,1,2,7,2_7,93020217,264485.0
41,2022,12/31/2021,2,2,7,2_7,123120217,411409.0
42,2022,03/31/2022,3,2,7,2_7,33120227,197680.0
43,2022,06/30/2022,4,2,7,2_7,63020227,269422.0
0,2012,09/30/2011,1,3,13,3_13,930201113,607776.7
1,2012,12/31/2011,2,3,13,3_13,1231201113,794319.0
2,2012,03/31/2012,3,3,13,3_13,331201213,763613.0
3,2012,06/30/2012,4,3,13,3_13,630201213,628775.0
4,2013,09/30/2012,1,3,13,3_13,930201213,623001.0
5,2013,12/31/2012,2,3,13,3_13,1231201213,869624.0
6,2013,03/31/2013,3,3,13,3_13,331201313,889906.0
7,2013,06/30/2013,4,3,13,3_13,630201313,414255.0
8,2014,09/30/2013,1,3,13,3_13,930201313,549168.0
9,2014,12/31/2013,2,3,13,3_13,1231201313,690511.0
10,2014,03/31/2014,3,3,13,3_13,331201413,652249.0
11,2014,06/30/2014,4,3,13,3_13,630201413,390999.0
12,2015,09/30/2014,1,3,13,3_13,930201413,427615.0
13,2015,12/31/2014,2,3,13,3_13,1231201413,659238.0
14,2015,03/31/2015,3,3,13,3_13,331201513,651381.0
15,2015,06/30/2015,4,3,13,3_13,630201513,288735.0
16,2016,09/30/2015,1,3,13,3_13,930201513,390774.0
17,2016,12/31/2015,2,3,13,3_13,1231201513,661476.0
18,2016,03/31/2016,3,3,13,3_13,331201613,652108.0
19,2016,06/30/2016,4,3,13,3_13,630201613,288036.0
20,2016,09/30/2016,1,3,13,3_13,930201613,411467.0
21,2016,12/31/2016,2,3,13,3_13,1231201613,674336.0
22,2017,03/31/2017,3,3,13,3_13,331201713,624842.0
23,2017,06/30/2017,4,3,13,3_13,630201713,314626.0
24,2018,09/30/2017,1,3,13,3_13,930201713,403855.0
25,2018,12/31/2017,2,3,13,3_13,1231201713,670674.0
26,2018,03/31/2018,3,3,13,3_13,331201813,600132.0
27,2018,06/30/2018,4,3,13,3_13,630201813,285913.0
28,2019,09/30/2018,1,3,13,3_13,930201813,416153.0
29,2019,12/31/2018,2,3,13,3_13,1231201813,593814.0
30,2019,03/31/2019,3,3,13,3_13,331201913,556065.0
31,2019,06/30/2019,4,3,13,3_13,630201913,238529.0
32,2020,09/30/2019,1,3,13,3_13,930201913,472253.0
33,2020,12/31/2019,2,3,13,3_13,1231201913,739268.0
34,2020,03/31/2020,3,3,13,3_13,331202013,686063.0
35,2020,06/30/2020,4,3,13,3_13,630202013,382302.0
36,2021,09/30/2020,1,3,13,3_13,930202013,539183.0
37,2021,12/31/2020,2,3,13,3_13,1231202013,791122.0
38,2021,03/31/2021,3,3,13,3_13,331202113,635041.0
39,2021,06/30/2021,4,3,13,3_13,630202113,358494.0
40,2022,09/30/2021,1,3,13,3_13,930202113,504609.0
41,2022,12/31/2021,2,3,13,3_13,1231202113,863337.0
42,2022,03/31/2022,3,3,13,3_13,331202213,586765.0
43,2022,06/30/2022,4,3,13,3_13,630202213,335931.0
0,2012,09/30/2011,1,3,14,3_14,930201114,5071908.51
1,2012,12/31/2011,2,3,14,3_14,1231201114,6203275.0
