,City,Financial Year,Quarter Ending,Quarter,key
53,9,2023,09/30/2022,1,93020229
54,13,2024,12/31/2023,2,1231202313
55,13,2024,09/30/2023,1,930202313
56,13,2023,06/30/2023,4,630202313
57,13,2023,03/31/2023,3,331202313
58,13,2023,12/31/2022,2,1231202213
59,13,2023,09/30/2022,1,930202213
60,14,2024,12/31/2023,2,1231202314
61,14,2024,09/30/2023,1,930202314
62,14,2023,06/30/2023,4,630202314
63,14,2023,03/31/2023,3,331202314
64,14,2023,12/31/2022,2,1231202214
65,14,2023,09/30/2022,1,930202214
66,15,2024,12/31/2023,2,1231202315
67,15,2024,09/30/2023,1,930202315
68,15,2023,06/30/2023,4,630202315
69,15,2023,03/31/2023,3,331202315
70,15,2023,12/31/2022,2,1231202215
71,15,2023,09/30/2022,1,930202215
72,16,2024,12/31/2023,2,1231202316
73,16,2024,09/30/2023,1,930202316
74,16,2023,06/30/2023,4,630202316
75,16,2023,03/31/2023,3,331202316
76,16,2023,12/31/2022,2,1231202216
77,16,2023,09/30/2022,1,930202216
78,17,2024,12/31/2023,2,1231202317
79,17,2024,09/30/2023,1,930202317
80,17,2023,06/30/2023,4,630202317
81,17,2023,03/31/2023,3,331202317
82,17,2023,12/31/2022,2,1231202217
83,17,2023,09/30/2022,1,930202217
84,18,2024,12/31/2023,2,1231202318
85,18,2024,09/30/2023,1,930202318
86,18,2023,06/30/2023,4,630202318
87,18,2023,03/31/2023,3,331202318
88,18,2023,12/31/2022,2,1231202218
89,18,2023,09/30/2022,1,930202218
90,19,2024,12/31/2023,2,1231202319
91,19,2024,09/30/2023,1,930202319
92,19,2023,06/30/2023,4,630202319
93,19,2023,03/31/2023,3,331202319
94,19,2023,12/31/2022,2,1231202219
95,19,2023,09/30/2022,1,930202219
96,20,2024,12/31/2023,2,1231202320
97,20,2024,09/30/2023,1,930202320
98,20,2023,06/30/2023,4,630202320
99,20,2023,03/31/2023,3,331202320
100,20,2023,12/31/2022,2,1231202220
101,20,2023,09/30/2022,1,930202220
102,22,2024,12/31/2023,2,1231202322
103,22,2024,09/30/2023,1,930202322
104,22,2023,06/30/2023,4,630202322
105,22,2023,03/31/2023,3,331202322
106,22,2023,12/31/2022,2,1231202222
107,22,2023,09/30/2022,1,930202222
108,23,2024,12/31/2023,2,1231202323
109,23,2024,09/30/2023,1,930202323
110,23,2023,06/30/2023,4,630202323
111,23,2023,03/31/2023,3,331202323
112,23,2023,12/31/2022,2,1231202223
113,23,2023,09/30/2022,1,930202223
114,28,2024,12/31/2023,2,1231202328
115,28,2024,09/30/2023,1,930202328
116,28,2023,06/30/2023,4,630202328
117,28,2023,03/31/2023,3,331202328
118,28,2023,12/31/2022,2,1231202228
119,28,2023,09/30/2022,1,930202228
120,30,2024,12/31/2023,2,1231202330
121,30,2024,09/30/2023,1,930202330
122,30,2023,06/30/2023,4,630202330
123,30,2023,03/31/2023,3,331202330
124,30,2023,12/31/2022,2,1231202230
125,30,2023,09/30/2022,1,930202230
126,32,2024,12/31/2023,2,1231202332
127,32,2024,09/30/2023,1,930202332
128,32,2023,06/30/2023,4,630202332
129,32,2023,03/31/2023,3,331202332
130,32,2023,12/31/2022,2,1231202232
131,32,2023,09/30/2022,1,930202232
132,33,2024,12/31/2023,2,1231202333
133,33,2024,09/30/2023,1,930202333
134,33,2023,06/30/2023,4,630202333
135,33,2023,03/31/2023,3,331202333
136,33,2023,12/31/2022,2,1231202233
137,33,2023,09/30/2022,1,930202233
138,34,2024,12/31/2023,2,1231202334
139,34,2024,09/30/2023,1,930202334
140,34,2023,06/30/2023,4,630202334
141,34,2023,03/31/2023,3,331202334
142,34,2023,12/31/2022,2,1231202234
143,34,2023,09/30/2022,1,930202234
144,35,2024,12/31/2023,2,1231202335
145,35,2024,09/30/2023,1,930202335
146,35,2023,06/30/2023,4,630202335
147,35,2023,03/31/2023,3,331202335
148,35,2023,12/31/2022,2,1231202235
149,35,2023,09/30/2022,1,930202235
150,36,2024,12/31/2023,2,1231202336
151,36,2024,09/30/2023,1,930202336
152,36,2023,06/30/2023,4,630202336
153,36,2023,03/31/2023,3,331202336
154,36,2023,12/31/2022,2,1231202236
155,36,2023,09/30/2022,1,930202236
156,39,2024,12/31/2023,2,1231202339
157,39,2024,09/30/2023,1,930202339
158,39,2023,06/30/2023,4,630202339
159,39,2023,03/31/2023,3,331202339
160,39,2023,12/31/2022,2,1231202239
161,39,2023,09/30/2022,1,930202239
162,40,2024,12/31/2023,2,1231202340
163,40,2024,09/30/2023,1,930202340
164,40,2023,06/30/2023,4,630202340
165,40,2023,03/31/2023,3,331202340
166,40,2023,12/31/2022,2,1231202240
167,40,2023,09/30/2022,1,930202240
168,41,2024,12/31/2023,2,1231202341
169,41,2024,09/30/2023,1,930202341
170,41,2023,06/30/2023,4,630202341
171,41,2023,03/31/2023,3,331202341
172,41,2023,12/31/2022,2,1231202241
173,41,2023,09/30/2022,1,930202241
174,42,2024,12/31/2023,2,1231202342
175,42,2024,09/30/2023,1,930202342
176,42,2023,06/30/2023,4,630202342
177,42,2023,03/31/2023,3,331202342
178,42,2023,12/31/2022,2,1231202242
179,42,2023,09/30/2022,1,930202242
180,43,2024,12/31/2023,2,1231202343
181,43,2024,09/30/2023,1,930202343
182,43,2023,06/30/2023,4,630202343
183,43,2023,03/31/2023,3,331202343
184,43,2023,12/31/2022,2,1231202243
185,43,2023,09/30/2022,1,930202243
186,44,2024,12/31/2023,2,1231202344
187,44,2024,09/30/2023,1,930202344
188,44,2023,06/30/2023,4,630202344
189,44,2023,03/31/2023,3,331202344
190,44,2023,12/31/2022,2,1231202244
191,44,2023,09/30/2022,1,930202244
192,45,2024,12/31/2023,2,1231202345
193,45,2024,09/30/2023,1,930202345
194,45,2023,06/30/2023,4,630202345
195,45,2023,03/31/2023,3,331202345
196,45,2023,12/31/2022,2,1231202245
197,45,2023,09/30/2022,1,930202245
198,46,2024,12/31/2023,2,1231202346
199,46,2024,09/30/2023,1,930202346
200,46,2023,06/30/2023,4,630202346
201,46,2023,03/31/2023,3,331202346
202,46,2023,12/31/2022,2,1231202246
203,46,2023,09/30/2022,1,930202246
204,47,2024,12/31/2023,2,1231202347
205,47,2024,09/30/2023,1,930202347
206,47,2023,06/30/2023,4,630202347
207,47,2023,03/31/2023,3,331202347
208,47,2023,12/31/2022,2,1231202247
209,47,2023,09/30/2022,1,930202247
210,48,2024,12/31/2023,2,1231202348
211,48,2024,09/30/2023,1,930202348
212,48,2023,06/30/2023,4,630202348
213,48,2023,03/31/2023,3,331202348
214,48,2023,12/31/2022,2,1231202248
215,48,2023,09/30/2022,1,930202248
216,49,2024,12/31/2023,2,1231202349
217,49,2024,09/30/2023,1,930202349
218,49,2023,06/30/2023,4,630202349
219,49,2023,03/31/2023,3,331202349
220,49,2023,12/31/2022,2,1231202249
221,49,2023,09/30/2022,1,930202249
222,50,2024,12/31/2023,2,1231202350
223,50,2024,09/30/2023,1,930202350
224,50,2023,06/30/2023,4,630202350
225,50,2023,03/31/2023,3,331202350
226,50,2023,12/31/2022,2,1231202250
227,50,2023,09/30/2022,1,930202250
228,51,2024,12/31/2023,2,1231202351
229,51,2024,09/30/2023,1,930202351
230,51,2023,06/30/2023,4,630202351
231,51,2023,03/31/2023,3,331202351
232,51,2023,12/31/2022,2,1231202251
233,51,2023,09/30/2022,1,930202251
234,52,2024,12/31/2023,2,1231202352
235,52,2024,09/30/2023,1,930202352
236,52,2023,06/30/2023,4,630202352
237,52,2023,03/31/2023,3,331202352
238,52,2023,12/31/2022,2,1231202252
239,52,2023,09/30/2022,1,930202252
240,53,2024,12/31/2023,2,1231202353
241,53,2024,09/30/2023,1,930202353
242,53,2023,06/30/2023,4,630202353
243,53,2023,03/31/2023,3,331202353
244,53,2023,12/31/2022,2,1231202253
245,53,2023,09/30/2022,1,930202253
246,54,2024,12/31/2023,2,1231202354
247,54,2024,09/30/2023,1,930202354
248,54,2023,06/30/2023,4,630202354
249,54,2023,03/31/2023,3,331202354
250,54,2023,12/31/2022,2,1231202254
251,54,2023,09/30/2022,1,930202254
252,55,2024,12/31/2023,2,1231202355
253,55,2024,09/30/2023,1,930202355
254,55,2023,06/30/2023,4,630202355
255,55,2023,03/31/2023,3,331202355
256,55,2023,12/31/2022,2,1231202255
257,55,2023,09/30/2022,1,930202255
258,56,2024,12/31/2023,2,1231202356
259,56,2024,09/30/2023,1,930202356
260,56,2023,06/30/2023,4,630202356
261,56,2023,03/31/2023,3,331202356
262,56,2023,12/31/2022,2,1231202256
263,56,2023,09/30/2022,1,930202256
264,57,2024,12/31/2023,2,1231202357
265,57,2024,09/30/2023,1,930202357
266,57,2023,06/30/2023,4,630202357
267,57,2023,03/31/2023,3,331202357
268,57,2023,12/31/2022,2,1231202257
269,57,2023,09/30/2022,1,930202257
270,58,2024,12/31/2023,2,1231202358
271,58,2024,09/30/2023,1,930202358
272,58,2023,06/30/2023,4,630202358
273,58,2023,03/31/2023,3,331202358
274,58,2023,12/31/2022,2,1231202258
275,58,2023,09/30/2022,1,930202258
276,59,2024,12/31/2023,2,1231202359
277,59,2024,09/30/2023,1,930202359
278,59,2023,06/30/2023,4,630202359
279,59,2023,03/31/2023,3,331202359
280,59,2023,12/31/2022,2,1231202259
281,59,2023,09/30/2022,1,930202259
282,60,2024,12/31/2023,2,1231202360
283,60,2024,09/30/2023,1,930202360
284,60,2023,06/30/2023,4,630202360
285,60,2023,03/31/2023,3,331202360
286,60,2023,12/31/2022,2,1231202260
287,60,2023,09/30/2022,1,930202260
288,62,2024,12/31/2023,2,1231202362
289,62,2024,09/30/2023,1,930202362
290,62,2023,06/30/2023,4,630202362
291,62,2023,03/31/2023,3,331202362
292,62,2023,12/31/2022,2,1231202262
293,62,2023,09/30/2022,1,930202262
294,64,2024,12/31/2023,2,1231202364
295,64,2024,09/30/2023,1,930202364
296,64,2023,06/30/2023,4,630202364
297,64,2023,03/31/2023,3,331202364
298,64,2023,12/31/2022,2,1231202264
299,64,2023,09/30/2022,1,930202264
300,65,2024,12/31/2023,2,1231202365
301,65,2024,09/30/2023,1,930202365
302,65,2023,06/30/2023,4,630202365
303,65,2023,03/31/2023,3,331202365
304,65,2023,12/31/2022,2,1231202265
305,65,2023,09/30/2022,1,930202265
306,66,2024,12/31/2023,2,1231202366
307,66,2024,09/30/2023,1,930202366
308,66,2023,06/30/2023,4,630202366
309,66,2023,03/31/2023,3,331202366
310,66,2023,12/31/2022,2,1231202266
311,66,2023,09/30/2022,1,930202266
312,67,2024,12/31/2023,2,1231202367
313,67,2024,09/30/2023,1,930202367
314,67,2023,06/30/2023,4,630202367
315,67,2023,03/31/2023,3,331202367
316,67,2023,12/31/2022,2,1231202267
317,67,2023,09/30/2022,1,930202267
318,68,2024,12/31/2023,2,1231202368
319,68,2024,09/30/2023,1,930202368
320,68,2023,06/30/2023,4,630202368
321,68,2023,03/31/2023,3,331202368
322,68,2023,12/31/2022,2,1231202268
323,68,2023,09/30/2022,1,930202268
324,69,2024,12/31/2023,2,1231202369
325,69,2024,09/30/2023,1,930202369
326,69,2023,06/30/2023,4,630202369
327,69,2023,03/31/2023,3,331202369
328,69,2023,12/31/2022,2,1231202269
329,69,2023,09/30/2022,1,930202269
330,70,2024,12/31/2023,2,1231202370
331,70,2024,09/30/2023,1,930202370
332,70,2023,06/30/2023,4,630202370
333,70,2023,03/31/2023,3,331202370
334,70,2023,12/31/2022,2,1231202270
335,70,2023,09/30/2022,1,930202270
336,71,2024,12/31/2023,2,1231202371
337,71,2024,09/30/2023,1,930202371
338,71,2023,06/30/2023,4,630202371
339,71,2023,03/31/2023,3,331202371
340,71,2023,12/31/2022,2,1231202271
341,71,2023,09/30/2022,1,930202271
342,72,2024,12/31/2023,2,1231202372
343,72,2024,09/30/2023,1,930202372
344,72,2023,06/30/2023,4,630202372
345,72,2023,03/31/2023,3,331202372
346,72,2023,12/31/2022,2,1231202272
347,72,2023,09/30/2022,1,930202272
348,73,2024,12/31/2023,2,1231202373
349,73,2024,09/30/2023,1,930202373
350,73,2023,06/30/2023,4,630202373
351,73,2023,03/31/2023,3,331202373
352,73,2023,12/31/2022,2,1231202273
353,73,2023,09/30/2022,1,930202273
354,74,2024,12/31/2023,2,1231202374
355,74,2024,09/30/2023,1,930202374
356,74,2023,06/30/2023,4,630202374
357,74,2023,03/31/2023,3,331202374
358,74,2023,12/31/2022,2,1231202274
359,74,2023,09/30/2022,1,930202274
360,75,2024,12/31/2023,2,1231202375
361,75,2024,09/30/2023,1,930202375
362,75,2023,06/30/2023,4,630202375
363,75,2023,03/31/2023,3,331202375
364,75,2023,12/31/2022,2,1231202275
365,75,2023,09/30/2022,1,930202275
366,76,2024,12/31/2023,2,1231202376
367,76,2024,09/30/2023,1,930202376
368,76,2023,06/30/2023,4,630202376
369,76,2023,03/31/2023,3,331202376
370,76,2023,12/31/2022,2,1231202276
371,76,2023,09/30/2022,1,930202276
372,78,2024,12/31/2023,2,1231202378
373,78,2024,09/30/2023,1,930202378
374,78,2023,06/30/2023,4,630202378
375,78,2023,03/31/2023,3,331202378
376,78,2023,12/31/2022,2,1231202278
377,78,2023,09/30/2022,1,930202278
378,79,2024,12/31/2023,2,1231202379
379,79,2024,09/30/2023,1,930202379
380,79,2023,06/30/2023,4,630202379
381,79,2023,03/31/2023,3,331202379
382,79,2023,12/31/2022,2,1231202279
383,79,2023,09/30/2022,1,930202279
384,80,2024,12/31/2023,2,1231202380
385,80,2024,09/30/2023,1,930202380
386,80,2023,06/30/2023,4,630202380
387,80,2023,03/31/2023,3,331202380
388,80,2023,12/31/2022,2,1231202280
389,80,2023,09/30/2022,1,930202280
390,82,2024,12/31/2023,2,1231202382
391,82,2024,09/30/2023,1,930202382
392,82,2023,06/30/2023,4,630202382
393,82,2023,03/31/2023,3,331202382
394,82,2023,12/31/2022,2,1231202282
395,82,2023,09/30/2022,1,930202282
396,83,2024,12/31/2023,2,1231202383
397,83,2024,09/30/2023,1,930202383
398,83,2023,06/30/2023,4,630202383
399,83,2023,03/31/2023,3,331202383
400,83,2023,12/31/2022,2,1231202283
401,83,2023,09/30/2022,1,930202283
402,84,2024,12/31/2023,2,1231202384
403,84,2024,09/30/2023,1,930202384
404,84,2023,06/30/2023,4,630202384
405,84,2023,03/31/2023,3,331202384
406,84,2023,12/31/2022,2,1231202284
407,84,2023,09/30/2022,1,930202284
408,86,2024,12/31/2023,2,1231202386
409,86,2024,09/30/2023,1,930202386
410,86,2023,06/30/2023,4,630202386
411,86,2023,03/31/2023,3,331202386
412,86,2023,12/31/2022,2,1231202286
413,86,2023,09/30/2022,1,930202286
414,87,2024,12/31/2023,2,1231202387
415,87,2024,09/30/2023,1,930202387
416,87,2023,06/30/2023,4,630202387
417,87,2023,03/31/2023,3,331202387
418,87,2023,12/31/2022,2,1231202287
419,87,2023,09/30/2022,1,930202287
420,88,2024,12/31/2023,2,1231202388
421,88,2024,09/30/2023,1,930202388
422,88,2023,06/30/2023,4,630202388
423,88,2023,03/31/2023,3,331202388
424,88,2023,12/31/2022,2,1231202288
425,88,2023,09/30/2022,1,930202288
426,89,2024,12/31/2023,2,1231202389
427,89,2024,09/30/2023,1,930202389
428,89,2023,06/30/2023,4,630202389
429,89,2023,03/31/2023,3,331202389
430,89,2023,12/31/2022,2,1231202289
431,89,2023,09/30/2022,1,930202289
432,91,2024,12/31/2023,2,1231202391
433,91,2024,09/30/2023,1,930202391
434,91,2023,06/30/2023,4,630202391
435,91,2023,03/31/2023,3,331202391
436,91,2023,12/31/2022,2,1231202291
437,91,2023,09/30/2022,1,930202291
438,92,2024,12/31/2023,2,1231202392
439,92,2024,09/30/2023,1,930202392
440,92,2023,06/30/2023,4,630202392
441,92,2023,03/31/2023,3,331202392
442,92,2023,12/31/2022,2,1231202292
443,92,2023,09/30/2022,1,930202292
444,93,2024,12/31/2023,2,1231202393
445,93,2024,09/30/2023,1,930202393
446,93,2023,06/30/2023,4,630202393
447,93,2023,03/31/2023,3,331202393
448,93,2023,12/31/2022,2,1231202293
449,93,2023,09/30/2022,1,930202293
450,94,2024,12/31/2023,2,1231202394
451,94,2024,09/30/2023,1,930202394
452,94,2023,06/30/2023,4,630202394
453,94,2023,03/31/2023,3,331202394
454,94,2023,12/31/2022,2,1231202294
455,94,2023,09/30/2022,1,930202294
456,95,2024,12/31/2023,2,1231202395
457,95,2024,09/30/2023,1,930202395
458,95,2023,06/30/2023,4,630202395
459,95,2023,03/31/2023,3,331202395
460,95,2023,12/31/2022,2,1231202295
461,95,2023,09/30/2022,1,930202295
462,96,2024,12/31/2023,2,1231202396
463,96,2024,09/30/2023,1,930202396
464,96,2023,06/30/2023,4,630202396
465,96,2023,03/31/2023,3,331202396
466,96,2023,12/31/2022,2,1231202296
467,96,2023,09/30/2022,1,930202296
468,97,2024,12/31/2023,2,1231202397
469,97,2024,09/30/2023,1,930202397
470,97,2023,06/30/2023,4,630202397
471,97,2023,03/31/2023,3,331202397
472,97,2023,12/31/2022,2,1231202297
473,97,2023,09/30/2022,1,930202297
474,99,2024,12/31/2023,2,1231202399
475,99,2024,09/30/2023,1,930202399
476,99,2023,06/30/2023,4,630202399
477,99,2023,03/31/2023,3,331202399
478,99,2023,12/31/2022,2,1231202299
479,99,2023,09/30/2022,1,930202299
480,100,2024,12/31/2023,2,12312023100
481,100,2024,09/30/2023,1,9302023100
482,100,2023,06/30/2023,4,6302023100
483,100,2023,03/31/2023,3,3312023100
484,100,2023,12/31/2022,2,12312022100
485,100,2023,09/30/2022,1,9302022100
486,101,2024,12/31/2023,2,12312023101
487,101,2024,09/30/2023,1,9302023101
488,101,2023,06/30/2023,4,6302023101
489,101,2023,03/31/2023,3,3312023101
490,101,2023,12/31/2022,2,12312022101
491,101,2023,09/30/2022,1,9302022101
492,102,2024,12/31/2023,2,12312023102
493,102,2024,09/30/2023,1,9302023102
494,102,2023,06/30/2023,4,6302023102
495,102,2023,03/31/2023,3,3312023102
496,102,2023,12/31/2022,2,12312022102
497,102,2023,09/30/2022,1,9302022102
498,103,2024,12/31/2023,2,12312023103
499,103,2024,09/30/2023,1,9302023103
500,103,2023,06/30/2023,4,6302023103
501,103,2023,03/31/2023,3,3312023103
502,103,2023,12/31/2022,2,12312022103
503,103,2023,09/30/2022,1,9302022103
504,104,2024,12/31/2023,2,12312023104
505,104,2024,09/30/2023,1,9302023104
506,104,2023,06/30/2023,4,6302023104
507,104,2023,03/31/2023,3,3312023104
508,104,2023,12/31/2022,2,12312022104
509,104,2023,09/30/2022,1,9302022104
510,106,2024,12/31/2023,2,12312023106
511,106,2024,09/30/2023,1,9302023106
512,106,2023,06/30/2023,4,6302023106
513,106,2023,03/31/2023,3,3312023106
514,106,2023,12/31/2022,2,12312022106
515,106,2023,09/30/2022,1,9302022106
516,107,2024,12/31/2023,2,12312023107
517,107,2024,09/30/2023,1,9302023107
518,107,2023,06/30/2023,4,6302023107
519,107,2023,03/31/2023,3,3312023107
520,107,2023,12/31/2022,2,12312022107
521,107,2023,09/30/2022,1,9302022107
522,108,2024,12/31/2023,2,12312023108
523,108,2024,09/30/2023,1,9302023108
524,108,2023,06/30/2023,4,6302023108
525,108,2023,03/31/2023,3,3312023108
526,108,2023,12/31/2022,2,12312022108
527,108,2023,09/30/2022,1,9302022108
528,109,2024,12/31/2023,2,12312023109
529,109,2024,09/30/2023,1,9302023109
530,109,2023,06/30/2023,4,6302023109
531,109,2023,03/31/2023,3,3312023109
532,109,2023,12/31/2022,2,12312022109
533,109,2023,09/30/2022,1,9302022109
534,110,2024,12/31/2023,2,12312023110
535,110,2024,09/30/2023,1,9302023110
536,110,2023,06/30/2023,4,6302023110
537,110,2023,03/31/2023,3,3312023110
538,110,2023,12/31/2022,2,12312022110
539,110,2023,09/30/2022,1,9302022110
540,111,2024,12/31/2023,2,12312023111
541,111,2024,09/30/2023,1,9302023111
542,111,2023,06/30/2023,4,6302023111
543,111,2023,03/31/2023,3,3312023111
544,111,2023,12/31/2022,2,12312022111
545,111,2023,09/30/2022,1,9302022111
546,112,2024,12/31/2023,2,12312023112
547,112,2024,09/30/2023,1,9302023112
548,112,2023,06/30/2023,4,6302023112
549,112,2023,03/31/2023,3,3312023112
550,112,2023,12/31/2022,2,12312022112
551,112,2023,09/30/2022,1,9302022112
552,114,2024,12/31/2023,2,12312023114
553,114,2024,09/30/2023,1,9302023114
554,114,2023,06/30/2023,4,6302023114
555,114,2023,03/31/2023,3,3312023114
556,114,2023,12/31/2022,2,12312022114
557,114,2023,09/30/2022,1,9302022114
558,115,2024,12/31/2023,2,12312023115
559,115,2024,09/30/2023,1,9302023115
560,115,2023,06/30/2023,4,6302023115
561,115,2023,03/31/2023,3,3312023115
562,115,2023,12/31/2022,2,12312022115
563,115,2023,09/30/2022,1,9302022115
564,116,2024,12/31/2023,2,12312023116
565,116,2024,09/30/2023,1,9302023116
566,116,2023,06/30/2023,4,6302023116
567,116,2023,03/31/2023,3,3312023116
568,116,2023,12/31/2022,2,12312022116
569,116,2023,09/30/2022,1,9302022116
570,117,2024,12/31/2023,2,12312023117
571,117,2024,09/30/2023,1,9302023117
572,117,2023,06/30/2023,4,6302023117
573,117,2023,03/31/2023,3,3312023117
574,117,2023,12/31/2022,2,12312022117
575,117,2023,09/30/2022,1,9302022117
576,118,2024,12/31/2023,2,12312023118
577,118,2024,09/30/2023,1,9302023118
578,118,2023,06/30/2023,4,6302023118
579,118,2023,03/31/2023,3,3312023118
580,118,2023,12/31/2022,2,12312022118
581,118,2023,09/30/2022,1,9302022118
582,119,2024,12/31/2023,2,12312023119
583,119,2024,09/30/2023,1,9302023119
584,119,2023,06/30/2023,4,6302023119
585,119,2023,03/31/2023,3,3312023119
586,119,2023,12/31/2022,2,12312022119
587,119,2023,09/30/2022,1,9302022119
588,120,2024,12/31/2023,2,12312023120
589,120,2024,09/30/2023,1,9302023120
590,120,2023,06/30/2023,4,6302023120
591,120,2023,03/31/2023,3,3312023120
592,120,2023,12/31/2022,2,12312022120
593,120,2023,09/30/2022,1,9302022120
594,122,2024,12/31/2023,2,12312023122
595,122,2024,09/30/2023,1,9302023122
596,122,2023,06/30/2023,4,6302023122
597,122,2023,03/31/2023,3,3312023122
598,122,2023,12/31/2022,2,12312022122
599,122,2023,09/30/2022,1,9302022122
600,123,2024,12/31/2023,2,12312023123
601,123,2024,09/30/2023,1,9302023123
602,123,2023,06/30/2023,4,6302023123
603,123,2023,03/31/2023,3,3312023123
604,123,2023,12/31/2022,2,12312022123
605,123,2023,09/30/2022,1,9302022123
606,125,2024,12/31/2023,2,12312023125
607,125,2024,09/30/2023,1,9302023125
608,125,2023,06/30/2023,4,6302023125
609,125,2023,03/31/2023,3,3312023125
610,125,2023,12/31/2022,2,12312022125
611,125,2023,09/30/2022,1,9302022125
612,126,2024,12/31/2023,2,12312023126
613,126,2024,09/30/2023,1,9302023126
614,126,2023,06/30/2023,4,6302023126
615,126,2023,03/31/2023,3,3312023126
616,126,2023,12/31/2022,2,12312022126
617,126,2023,09/30/2022,1,9302022126
618,127,2024,12/31/2023,2,12312023127
619,127,2024,09/30/2023,1,9302023127
620,127,2023,06/30/2023,4,6302023127
621,127,2023,03/31/2023,3,3312023127
622,127,2023,12/31/2022,2,12312022127
623,127,2023,09/30/2022,1,9302022127
624,128,2024,12/31/2023,2,12312023128
625,128,2024,09/30/2023,1,9302023128
626,128,2023,06/30/2023,4,6302023128
627,128,2023,03/31/2023,3,3312023128
628,128,2023,12/31/2022,2,12312022128
629,128,2023,09/30/2022,1,9302022128
630,129,2024,12/31/2023,2,12312023129
631,129,2024,09/30/2023,1,9302023129
632,129,2023,06/30/2023,4,6302023129
633,129,2023,03/31/2023,3,3312023129
634,129,2023,12/31/2022,2,12312022129
635,129,2023,09/30/2022,1,9302022129
636,130,2024,12/31/2023,2,12312023130
637,130,2024,09/30/2023,1,9302023130
638,130,2023,06/30/2023,4,6302023130
639,130,2023,03/31/2023,3,3312023130
640,130,2023,12/31/2022,2,12312022130
641,130,2023,09/30/2022,1,9302022130
642,131,2024,12/31/2023,2,12312023131
643,131,2024,09/30/2023,1,9302023131
644,131,2023,06/30/2023,4,6302023131
645,131,2023,03/31/2023,3,3312023131
646,131,2023,12/31/2022,2,12312022131
647,131,2023,09/30/2022,1,9302022131
648,132,2024,12/31/2023,2,12312023132
649,132,2024,09/30/2023,1,9302023132
650,132,2023,06/30/2023,4,6302023132
651,132,2023,03/31/2023,3,3312023132
652,132,2023,12/31/2022,2,12312022132
653,132,2023,09/30/2022,1,9302022132
654,133,2024,12/31/2023,2,12312023133
655,133,2024,09/30/2023,1,9302023133
656,133,2023,06/30/2023,4,6302023133
657,133,2023,03/31/2023,3,3312023133
658,133,2023,12/31/2022,2,12312022133
659,133,2023,09/30/2022,1,9302022133
660,134,2024,12/31/2023,2,12312023134
661,134,2024,09/30/2023,1,9302023134
662,134,2023,06/30/2023,4,6302023134
663,134,2023,03/31/2023,3,3312023134
664,134,2023,12/31/2022,2,12312022134
665,134,2023,09/30/2022,1,9302022134
666,136,2024,12/31/2023,2,12312023136
667,136,2024,09/30/2023,1,9302023136
668,136,2023,06/30/2023,4,6302023136
669,136,2023,03/31/2023,3,3312023136
670,136,2023,12/31/2022,2,12312022136
671,136,2023,09/30/2022,1,9302022136
672,137,2024,12/31/2023,2,12312023137
673,137,2024,09/30/2023,1,9302023137
674,137,2023,06/30/2023,4,6302023137
675,137,2023,03/31/2023,3,3312023137
676,137,2023,12/31/2022,2,12312022137
677,137,2023,09/30/2022,1,9302022137
678,139,2024,12/31/2023,2,12312023139
679,139,2024,09/30/2023,1,9302023139
