Land Size (acres),Produced_Quantity(liters/kg),Unit_Cost_Price,Storage_Duration(days),Unit_Selling_Price,Current_Inventory(liters/kg),Reorder_Point(liters/kg)
507.5285822,184.4756018,80.61152359,16.5870768,83.88182688,473.4747542,32.47533319
200.8473862,672.635934,97.45334877,125.5466027,103.49,349.1443971,66.96728182
654.5345822,65.62041399,76.43595397,7.551753496,79.17809262,299.7011682,61.95557447
801.9328877,438.7430346,51.66868246,32.46079649,33.58394351,217.2563023,18.91491039
657.3705711,720.6899313,60.28653851,37.4387464,30.98003223,279.0254005,80.08782646
880.9512705,190.655163,40.70014542,34.37821882,56.91658094,306.5192491,72.41346302
375.196103,434.9170838,49.8530357,15.23286233,34.64648628,229.0595508,24.36393585
994.670952,346.9047025,31.37470297,49.50935965,102.145777,232.3264211,63.07322082
98.08619392,91.22550083,32.19567263,66.45012409,19.89042752,132.1784819,95.14065484
998.99,605.6318385,46.22966397,9.542675067,8.084399565,339.3162799,55.89479377
657.3767261,887.0957191,58.78321491,8.310232409,36.8488847,333.1478964,82.33814252
871.5768889,610.7356334,85.02343638,1.421817245,39.72497446,186.3623019,19.97698908
560.2895956,408.8908456,50.47516905,53.49606531,103.49,23.81601343,55.70343285
567.205769,505.9571861,65.78511444,17.11462181,23.30886778,518.336041,55.83906657
393.7087179,785.5518333,44.28829378,4.908190194,66.50861669,55.05682766,43.22321621
709.2957164,1.24,27.66820408,43.13586886,69.64939315,309.1835068,59.4966565
485.8296391,212.8489267,69.45628569,30.61319495,39.73573121,147.8750802,46.77128405
335.8280186,744.0717433,17.79391157,46.90619795,69.18663957,384.0323463,64.8205165
345.0420418,601.6367073,10.05,23.91566318,53.21906409,177.0406324,42.09311442
547.4602027,332.7073693,95.53390279,25.84482758,24.31763232,22.90281908,48.56044625
588.7832936,21.81987658,77.97691449,73.69876674,74.23803183,258.3566682,38.86648629
629.8447435,1.24,33.8793684,24.97852937,51.08263331,523.9723581,54.44912674
907.0910438,615.1754577,67.95355892,35.0017859,81.17646843,479.6149066,46.01063307
264.6429431,431.2226806,33.23903887,32.74326336,9.675627157,176.8704414,61.15271523
10.32,1.24,52.02201403,47.11118048,82.33161596,498.7371021,22.76852162
738.0096105,936.1018555,91.40456036,73.27061567,56.33617958,253.8713808,39.7187438
10.32,109.0733233,62.21215563,24.73228493,44.23620077,362.0073206,33.84641064
998.99,300.1153247,46.24345286,89.79945158,50.05662889,235.9641595,78.26332531
10.32,249.4648481,52.19268927,15.47890028,7.346379398,205.3378039,22.90555053
998.99,485.4834192,91.56446533,107.706619,45.5979507,342.9973576,43.35750325
808.843067,417.0283482,25.06393883,23.29151226,39.43053624,221.8046349,78.39474966
499.0642725,386.0463296,10.05,36.30277633,60.87040502,368.4280994,72.26855386
737.8899432,638.1328943,45.19517142,43.6172489,44.90114343,212.0426855,48.72944607
60.25484225,527.4719708,61.22222722,44.9152786,65.38142955,277.2784695,47.38956692
322.6186497,922.7761638,71.28101243,87.06101873,72.74333092,46.94601569,71.27339116
290.9052006,144.4065658,47.47830304,89.19747034,55.54603222,91.25237306,59.96020211
771.0522552,502.8516379,43.53740135,64.83345045,32.99129298,148.0145703,46.33176016
658.4908257,412.0776397,99.96,84.13291376,20.04484443,444.7254832,78.150456
10.32,473.5047853,47.71409817,33.93011107,69.62771898,354.4291091,69.27496421
284.8922309,364.0269613,28.64416204,79.53373776,82.27891162,108.0516534,50.81687253
856.8520293,838.8831584,66.20956525,47.30235558,77.63429798,85.25458092,74.3383861
412.0870854,624.8241388,54.40094615,59.59981445,53.92615102,471.0314763,77.05478887
465.9046728,415.6668258,60.69592408,19.48293813,69.94106681,44.20062821,81.58378999
485.5273518,608.8939596,52.72783997,5.310423224,88.87168275,484.1086485,84.51667324
10.32,516.2938369,23.6007639,43.68342617,23.62508016,550.8343879,39.87161875
691.1973773,869.474689,83.91426939,80.74470227,88.54199577,395.5899441,16.7232834
290.129936,222.5369367,74.23285749,12.39356243,39.60107303,567.6628575,52.8440611
684.6009874,814.3632678,69.40778105,16.57242328,69.47103542,498.0339352,76.31302442
998.99,159.9559576,44.7366509,17.37145942,87.41874085,622.0811836,15.60446248
415.5704386,413.7997434,36.78484657,64.29976974,36.20211823,162.9651786,88.72306804
697.9225859,1.24,59.94639556,24.88843187,63.12068778,192.7578739,26.78027537
541.3594246,373.7660767,62.37935304,1.298411,55.0524289,408.8461342,41.6462918
794.6819194,585.8680233,54.38522727,41.16949427,103.49,537.6562714,29.15319151
128.4442635,130.7119929,27.39065038,37.80721639,23.86144338,238.9891934,59.76775383
186.7653164,428.6477996,55.71629345,76.28163804,68.42471538,449.200859,38.68517521
600.8458204,242.4863647,10.05,32.24406196,94.2314867,389.6618251,25.74667081
445.5006665,217.3615185,67.03631879,65.82744206,51.9713158,169.4728139,38.75811252
508.6988086,329.7187771,73.14350007,11.07162085,45.22679633,447.0195805,26.19514788
10.32,108.7912601,66.98903699,13.64265824,87.48075708,301.4789558,60.26219736
416.5369529,311.9470851,42.98876953,9.914689886,93.86206429,268.0162532,29.92873446
580.534807,557.3259864,45.54682046,9.474089639,51.0590559,295.8542758,56.83527009
490.9480762,190.0748352,68.91290699,35.17768673,40.71091486,96.38106611,30.79505369
874.6576641,545.7148131,59.04043176,51.43606935,19.38174207,503.617979,66.7521477
747.17481,795.0829957,74.00015046,37.98352994,103.49,115.7808733,60.16049282
377.8613011,1.24,84.76853469,44.81042669,21.76104549,186.8572016,43.51023247
211.454153,294.3543702,36.49432304,40.98041534,90.96980316,399.7200633,19.71040895
331.4125422,999.82,34.22877754,74.77379132,69.25894624,233.341862,91.13142334
454.4872804,796.4244007,61.45899413,50.04850188,52.01369537,598.0704671,49.75786748
488.4819475,714.5781294,59.27015029,17.24375159,23.66922616,644.7625304,34.23524449
472.6538178,709.6949601,38.87089792,2.361926034,38.19361556,758.3614374,74.61833518
456.3980795,1.24,82.18983996,43.37285653,45.60759977,61.78376986,27.34822381
248.6588615,764.0338969,90.06385773,10.675052,33.36694125,232.1707847,35.1016838
106.7397505,541.786817,59.37927317,47.19965383,58.48810053,238.9297594,51.06062793
734.1683885,232.3406557,85.42157745,26.87587882,49.45117942,127.4717952,28.19277355
451.6096555,581.1961296,10.05,6.095596804,79.18962636,369.4905011,46.68536345
486.6281391,1.24,85.07197673,36.01319804,70.64722281,336.5806667,58.9679303
751.6772649,769.8878884,64.13766776,64.28350689,5.61,227.3856683,19.34681286
224.9978526,524.195245,80.95907084,35.33008898,76.04726307,270.4505153,75.38304685
123.7473314,697.2045191,56.66103679,19.28595373,78.9509432,12.08867126,83.75871099
195.5395428,275.1116088,99.96,52.81275622,8.253963546,266.6318327,54.21350826
412.2049077,182.8360665,27.42102543,6.318515189,58.16839584,78.77549677,44.13567933
10.32,583.8703092,61.58389078,38.51842461,52.09503268,287.1791724,88.50509213
755.6031617,383.1655863,54.56882085,24.50886716,55.70445648,264.2109332,68.72204613
411.7952705,563.9221428,60.76279401,2.104447271,51.59740139,382.5695832,42.92833655
807.6708185,977.2519098,33.38243709,32.41197093,89.94032273,348.5632295,58.91701074
626.3629975,874.9392155,56.52277378,56.07227822,29.97148813,97.4840917,80.71122028
610.4001449,553.5647642,35.21238422,23.24527955,36.82004501,405.3461684,23.46593092
655.4930997,39.87887443,94.82065198,71.21910823,86.0656714,200.6869922,45.03996936
249.8991734,738.3108557,64.23175961,10.98365083,70.25345175,206.5864173,57.55833627
998.99,891.9770886,48.30664874,36.7586177,23.1684532,334.79504,42.46491541
585.2105739,348.7219009,66.30696149,39.42926136,92.35430514,245.9459012,25.00261918
450.4431787,620.4224283,54.30383132,65.6174437,68.62752563,248.5505053,59.04766774
643.8943937,887.5169149,58.58014095,22.70988517,48.85339859,433.1562272,54.19502819
10.32,851.1625097,47.16876913,43.20192905,79.48271744,277.9358522,55.37793697
693.9352606,163.9789092,47.03132836,33.38051135,85.08549787,724.7950701,48.25790415
884.3146875,204.0011546,33.86086172,45.63771481,53.85003438,658.5631106,69.70959677
419.8736106,624.5705958,36.66010247,67.86740435,50.49638349,291.7685111,96.37086775
169.7546022,438.5821605,42.58525752,8.496049768,74.25945097,120.6877297,29.16636058
14.56577978,331.485135,72.58807945,48.29412621,32.40898414,410.1223391,54.85137309
998.99,558.5069362,23.50738869,50.46774927,30.60769981,331.1485073,86.10399118
342.3033184,879.9348385,52.36046187,43.80674487,85.48601469,198.3320577,10.41642574
343.3710834,402.8001967,59.54829793,67.14652745,5.61,272.5311467,94.98345067
497.7900742,811.6200834,83.21252874,47.69661403,54.94024784,238.9595297,98.93676583
757.339407,1.24,74.03567573,44.32193652,25.09261241,543.0495797,56.90871058
581.845852,649.3587007,84.91616751,48.49647139,103.49,720.297665,33.25143772
508.6059818,545.7521951,99.96,64.63303389,80.65576167,241.5877755,47.87767939
828.6541837,466.7893966,41.0592969,52.5099961,36.11439932,867.629537,77.39287777
611.8127081,722.0989541,58.93753225,59.60229238,6.642894467,428.665695,27.36108931
769.4110236,322.6923194,43.56651859,32.50232682,46.35396721,529.6229237,73.90966121
654.1058115,736.2765741,34.21300893,45.09965958,35.57237851,236.3984051,63.46114849
515.5361812,497.2609492,27.03106649,27.82793364,51.73438539,71.19950528,17.10904764
640.6343457,835.5185519,59.15060316,18.17066348,62.17201905,167.985813,53.40618096
208.6749293,838.3458123,62.70554611,33.78688068,103.49,437.9334687,43.73593451
706.194194,641.0608905,28.74847331,48.60891525,24.38927197,308.0305775,99.72587441
694.9994004,619.4198343,20.44307547,55.20708333,62.87082334,637.6239604,52.54061325
285.3758591,291.9560608,82.88672205,29.54842517,46.50005151,244.7790548,45.04023688
770.4193437,496.2823658,32.89010409,43.29424289,58.48388543,245.2718058,64.42563831
231.1791846,229.2869347,86.62571469,43.30354138,13.30294206,265.8329372,58.63774014
991.0138887,761.8413704,57.90284263,46.39114484,35.1065777,119.0874869,90.46504529
284.4942367,640.3799583,59.75748977,37.53818536,58.24532628,364.1442281,20.71868135
452.2122499,478.2401322,67.85870743,26.3663382,52.72891918,238.6686488,69.88506402
657.9574802,808.6990486,86.66834556,94.45703257,79.15171287,339.4574219,63.73226803
627.0281274,999.82,85.10450959,27.65565416,59.68561406,380.0182664,33.74998067
429.5961675,402.4084946,67.15262792,14.06767503,20.45907121,508.4854722,39.69437402
504.2150147,645.4351007,36.25547745,36.23751617,88.87890058,291.5557582,22.85192419
665.9146148,173.9106399,19.51891382,3.880605303,21.0888722,103.7769357,50.31548539
836.6096478,237.4798574,52.43678554,14.53336483,66.18063003,41.28413767,51.87857505
535.817097,346.4246947,94.23523541,35.26159338,58.09268223,533.0200011,46.20075213
359.4320951,612.0677726,46.49314638,51.13143562,47.85552306,143.0416619,63.84212137
407.5970584,738.4365628,48.85715495,38.44140199,7.97733341,352.2041335,92.80502362
285.3264106,714.38388,53.4442279,35.31767449,62.51398291,147.8579626,82.88205593
996.7829764,211.9485497,87.0296757,33.99287738,63.36037243,205.8999433,61.95158406
697.5914885,531.9964403,49.64110139,58.25977319,21.39818354,275.0722252,34.56878058
647.7928573,563.9040333,67.19546285,83.31636746,57.61083225,180.8296548,60.81058645
321.4394844,644.2945927,55.22988543,91.17665449,31.4569579,23.80136421,76.75634886
274.8769714,682.3367192,61.82217672,20.32785984,83.54696165,66.04642298,62.03860796
696.5278286,209.76664,23.78308927,8.421218249,5.61,109.4230036,32.51866743
533.1396201,761.6550848,64.22247532,31.99559984,78.55247356,27.25551378,45.0532841
641.1243796,837.9865388,99.96,22.86303041,59.91663811,494.4351848,43.51476363
543.3481249,347.629764,57.49590824,61.76936792,71.45624927,721.2339106,69.61489041
10.32,896.1773191,26.67744871,13.01289752,84.85963401,288.6345247,14.33188993
664.3777187,860.9235012,75.47639087,30.66189089,56.2329151,123.7651418,53.35210924
673.9472522,441.3365733,28.41184157,24.64766412,44.26002768,252.1360437,25.60218529
586.3352164,889.5350468,73.65471049,40.24202481,5.61,504.9662228,51.37346323
310.8485105,185.0383546,99.96,9.795470261,72.96425445,166.3989494,74.51240288
998.99,675.4424174,37.59654977,22.1710654,50.10639521,380.6835588,73.03249828
486.8354653,585.7934516,76.30003252,86.8574555,94.7122593,786.4299839,74.53932268
654.6060776,999.82,68.72126919,21.1068245,45.3228796,274.1855433,80.69885568
889.1066401,298.0089521,23.13086848,25.1330038,49.74153623,470.3470136,43.79487003
681.938713,546.303023,97.94230625,13.75366435,69.13747472,321.2053171,11.58219137
280.0710685,564.2882877,56.73332039,2.737785903,48.89770511,147.5289505,29.59780284
362.4598562,719.0189941,50.66158578,62.58762557,24.51200472,273.5702334,81.52895225
463.8776907,919.3810999,58.37159994,65.39917004,83.14981394,260.9027735,32.29220332
249.283214,512.8336623,11.27633376,61.88211897,39.9078151,257.0251452,59.75002933
845.6335497,742.7064255,99.96,18.04287044,45.80005336,540.8814595,46.3013278
178.0325446,462.0053154,29.62614455,16.93529189,36.65987696,244.8837813,55.72379392
742.2229349,1.24,15.6161174,11.34033657,70.32289304,162.9762432,46.86551299
894.9489903,999.82,75.50313791,90.73979974,50.85205073,130.6111791,70.35400566
522.1496981,631.7339005,32.27999181,35.11330333,62.90810327,178.5946087,47.86984608
646.0631182,324.0008006,10.05,52.13400471,61.48585624,464.5607534,86.25671251
998.99,162.7815998,71.17983245,14.60160914,35.73675676,86.11716011,32.88207467
509.8167724,666.5022733,48.9325797,5.734524954,66.56212569,37.23684974,43.2840988
277.9922799,170.6516735,51.52995084,30.72123812,52.8206977,55.83042217,77.35502422
362.6990363,735.4040401,84.18576166,28.28650443,51.02459481,214.6156237,43.46495593
981.2904166,365.4023654,63.22760378,87.46519677,7.625520262,9.254502217,64.69300234
305.156954,866.418084,87.5057588,4.336180031,46.1662295,292.4369,90.71379523
627.4018995,934.31751,78.12296905,20.23659404,35.9609716,40.30687218,51.80845274
225.9145807,239.3995466,31.75055473,51.24733183,69.81478419,272.8916743,93.51298424
998.99,175.4357045,99.96,31.4436927,38.28280189,186.3955363,94.72099943
764.6107508,473.2675671,65.98364668,39.66545223,33.8346843,300.1410562,73.45928576
319.7005178,98.30614839,51.06130858,23.62229853,101.1579305,470.9210858,91.71584535
710.6992733,39.32320267,59.55033077,14.71751078,63.52413495,363.2072615,51.18001418
755.1705008,499.1992491,69.41568042,22.19605587,77.77899953,373.7390613,50.32772238
10.32,161.3429808,29.04102552,39.97627324,85.60768161,199.5309354,75.79853298
998.99,493.5595317,36.61938243,84.17606315,72.99950058,342.7803125,54.74219708
624.0089781,324.0280344,38.14587986,31.94902823,58.72522769,293.417008,91.07672935
612.3752389,767.4778558,37.30018545,49.55709568,67.15201171,186.1744987,91.33982373
912.6469139,452.4880989,67.00014403,45.85991421,70.16952607,687.6473277,15.46633865
545.7401226,636.4900163,99.96,57.64667641,45.01436228,157.7925832,64.50697946
882.2871145,610.5813075,99.96,49.99464757,72.44213641,413.7067705,38.37933944
545.6138045,254.706377,26.4054541,23.62149458,64.17576499,220.4097319,36.67787459
493.9619727,416.3171481,43.86173566,12.76995509,36.45604204,377.9434114,41.83727207
787.8164747,77.08058712,51.33387375,28.04502162,64.40315817,481.6903952,24.63659633
796.0565465,161.4111744,67.5580242,86.58623628,54.29202844,302.9484094,64.88072422
794.0325088,705.7838621,93.63464241,61.88647678,71.9673568,418.9039341,75.46775081
506.7089777,412.6752431,58.28165839,54.79276122,44.0633615,428.2442487,11.80978389
591.7864414,650.2373307,56.40812543,14.63836992,74.78344923,475.5744404,43.42939185
651.392595,434.2097599,42.213385,2.183750629,34.45004549,531.6483276,40.99042333
431.0865184,623.4333973,92.17236948,12.13868926,63.30454358,593.2963315,39.64620078
654.6713735,690.0940873,31.89702669,78.99460626,43.91727997,585.045821,28.19609671
596.2240364,491.1766193,50.24267937,42.7931808,36.32970136,167.7352417,71.23089339
808.8326435,886.0508663,50.9227608,14.79939615,61.1687792,197.8811271,49.42532229
234.2997648,248.0887714,41.17650062,54.82159659,63.26992855,586.5226333,81.49229179
757.3138508,545.9871913,30.42787594,24.9608354,74.00525741,291.0237524,23.65849393
998.99,461.3264129,10.05,84.16616827,23.15281122,278.5076356,47.48470156
517.3382866,999.82,10.05,36.52461717,103.49,633.4934141,43.91011536
642.3479126,360.8490484,56.77023451,60.22519317,94.34782777,224.7214081,50.64931879
519.3017758,687.1519249,57.17327682,3.668533088,40.20905863,341.2502456,95.65865545
220.9602526,219.1654393,99.96,8.988498317,56.39013505,158.7622628,16.34968073
560.440421,124.8851965,70.94923058,75.6427749,42.17389968,317.2951372,71.20320208
164.8685151,377.7118895,49.31439311,14.14617235,65.53619173,230.4535989,41.71091121
691.8458603,349.3036539,10.05,11.62372733,48.2162895,203.9167716,24.81655001
163.4159266,577.6865531,99.96,17.25226871,103.49,433.9574792,72.2727179
585.4879759,386.5690802,47.8212085,40.80520702,40.21295076,432.97973,22.10243034
498.4760863,567.370453,90.89149063,31.47896292,53.05765788,378.4304513,54.41615753
669.7654861,739.6157765,73.45891911,40.15419914,57.68379609,178.3111117,61.78382401
516.206706,384.0221126,27.32605389,69.13587054,49.30978839,169.6125541,42.31720144
671.7979553,26.54776692,63.57906758,25.58248292,77.03583065,39.5246385,38.4031287
998.99,359.2883915,53.97512966,20.81525075,53.81776186,233.2471601,77.41527768
572.8382678,305.8411791,35.55418881,109.4556336,71.54147621,290.5864127,57.59509142
343.0225927,660.1635923,49.16005373,10.49191261,55.23830506,244.1502347,67.71457073
389.2806915,209.415725,49.25499135,52.05353331,36.5749286,59.19967102,25.27902158
191.0415851,849.8434132,77.45574611,76.03070409,31.50719419,234.276415,65.86434202
681.3259049,864.9816399,16.78898895,9.627251258,90.50008284,107.8704103,92.65542826
370.1731998,783.2902526,67.55068681,32.55351955,79.30227768,456.1449336,39.81368664
314.9212164,614.7319715,37.35008083,43.55651268,58.67694256,331.8317757,98.4987644
783.355132,913.1275566,55.27206961,49.6777785,38.78495975,515.4136612,71.41138075
686.1447846,273.1741081,54.05717222,19.37713604,55.64478648,278.5381921,66.99909384
65.90054925,546.092898,83.1332263,32.47634752,91.7631331,564.9328159,75.17917415
852.6946568,693.8096556,39.77797748,49.39650366,85.50959416,210.0701913,55.78860181
858.4461767,148.0987478,50.41482199,1.402872335,31.83618268,209.5573074,74.19813035
514.7980451,389.3834123,37.16259315,17.51320788,75.11631847,158.0724398,38.63868523
237.2795863,570.6078629,97.8752207,40.82299323,37.88514998,306.1160729,46.00595106
433.0020794,999.82,83.7362417,5.533092932,28.30648147,163.320813,65.63253795
365.3097529,65.41571157,50.45648301,57.80583369,59.38533353,376.4611191,36.45001057
798.6627272,787.9042224,31.1063279,14.802062,65.85923662,274.6903447,64.5022775
510.0057666,547.066112,60.41250729,41.49611792,58.80480895,364.0827091,64.25941924
290.8289653,582.5180071,68.76864968,22.29052959,58.50251426,254.925251,71.10984228
458.2246122,610.9768394,57.39845539,24.87923529,63.39826124,477.8144203,57.19218016
757.6072274,418.630077,24.51192251,52.55070565,73.31285087,546.007551,39.74592124
292.6347491,999.82,46.41254674,32.9389044,45.19261311,184.7338703,80.10579724
293.3971523,649.5849197,31.09006568,31.84508452,39.75200707,117.40439,65.53493377
383.8259903,681.680557,66.98168727,55.67594831,42.37716441,56.0976773,50.9576204
449.9911915,400.0952736,72.76476659,59.44832718,36.74121132,64.891081,40.61395646
388.3460044,267.4120347,61.20458925,25.11858868,86.42974654,312.7560443,71.91662321
403.506135,429.6722907,85.50040467,54.1615419,23.57795656,32.19977937,43.66369677
571.6628741,377.2999253,56.34148392,32.72081219,17.43932414,512.0879409,73.63153476
422.9993677,284.8470156,53.19194499,67.72035792,66.38861605,361.2740908,42.27812965
279.738983,177.9317661,34.75145965,31.74358601,82.80027065,611.6114221,41.38978336
379.2945161,834.5514022,45.277196,54.60182497,71.86362542,186.113018,76.42492779
998.99,90.73054134,40.77301514,54.61518077,22.59420703,276.6823837,47.83994025
996.9503627,517.7389628,64.0016877,36.05393794,44.49564271,216.5313379,80.09033236
662.114386,532.3008071,51.41572442,34.64897241,49.46831881,623.3850318,50.61772725
228.2547701,845.8775365,39.89509098,36.06155417,18.23998047,221.1811638,60.91332139
144.1243181,314.4888473,59.37346619,34.89852751,28.60299921,447.6568615,74.92007209
305.5847652,1.24,82.3983314,74.65444096,54.01703789,373.0975765,84.24140523
442.9295131,211.0288393,43.96702555,33.43641906,23.63397269,173.5134493,48.2641413
10.32,494.8232951,25.52131935,25.59415988,79.59820412,257.5908382,96.31157282
236.6353465,475.5242961,33.38668917,88.23904858,27.76760621,648.0466018,80.30811455
594.9199796,655.740632,63.72064426,28.7092607,44.49562776,444.4110794,44.80999491
605.9997713,502.5478877,17.27597124,31.35447102,37.22743895,250.5475218,72.13211823
668.3306903,518.9280861,43.25408158,75.40268265,51.77637419,446.1971398,58.38441568
572.3708304,317.953082,50.6993541,44.42073597,40.341758,18.79478351,30.14199962
927.7430183,206.5471836,80.76781225,63.10056984,91.48357408,76.04880555,32.92114491
483.3386104,706.6832608,99.96,54.06908776,80.79534649,138.4155131,83.61013153
490.0547561,1.24,63.95832859,20.68247244,28.99261549,338.4774757,90.75455992
943.6158465,543.9147275,46.12711797,59.73149182,25.33095924,245.3580936,56.46699077
10.32,512.2445175,49.89561162,16.85374277,61.91210574,604.7013043,83.12618824
565.1337529,985.3777798,19.43155989,45.4671284,58.69694642,126.0172261,40.08842923
676.7489999,662.1083368,58.68476763,72.06828842,51.76903921,298.3863625,83.40694474
833.4385524,721.2544649,46.90985392,70.48579088,56.96408183,309.1407448,83.15131938
10.32,524.7959518,56.77578543,29.15265358,37.09638403,591.659798,65.22602945
171.0502882,798.0470016,46.98833066,21.08621037,32.97574068,32.39557519,49.88691881
453.8791304,726.3641236,40.67276445,17.24342881,49.66896974,890.3461441,45.19249881
613.1223106,93.62986594,82.07154597,34.99063433,28.09799671,487.9848961,65.9850398
65.38718457,561.5060705,60.16167728,3.871174925,56.04279804,384.1231106,42.2324518
629.4232622,842.9756387,93.96627579,31.27424454,56.49129871,357.8738728,84.12928478
786.4966701,397.5289226,34.24941056,92.41233656,26.17086438,261.5032168,73.30284909
583.306221,865.0712215,99.96,67.68314837,71.66704481,228.704342,48.2580311
794.5779903,522.3844427,99.96,87.66866315,26.24001032,287.2446707,66.06815396
387.701752,608.0468999,43.44809947,36.43520611,60.44365141,94.57767444,41.4399179
523.923419,547.1298846,45.24013188,22.07183887,44.26812534,130.959811,30.26876119
998.99,921.2423357,73.00036131,37.06575708,87.8240846,305.4846409,32.13620464
972.9192507,38.26357005,61.65175476,26.20703244,103.49,161.7704798,69.76972647
576.3243256,342.0185358,37.68876023,6.84421505,66.41944612,483.367988,68.34878916
929.9159536,205.9518738,89.47019817,9.092903112,33.06422986,490.9194415,27.04025074
222.6315624,587.4714172,40.54451228,1.905784417,65.34555865,14.50860656,26.93640409
998.99,377.8808179,55.51172147,72.66258417,61.85187663,500.1316377,68.31038699
10.32,659.4693091,80.52113124,59.2251639,75.2127513,426.5800148,19.00437154
609.5064499,750.4313285,10.05,32.3774152,60.20352665,319.4622573,90.94637975
200.2812536,669.9508213,43.94048029,81.93090049,83.23544662,452.9852871,46.79664528
775.0858702,469.2583336,45.65775989,90.82559972,13.34690378,196.1947439,56.96513859
615.3569811,841.9869024,38.31598902,52.10646305,50.49831827,248.4287968,47.3867012
213.6025993,999.82,20.47081846,58.4124879,60.59155775,237.5713256,73.80133685
594.7843631,497.0960595,99.96,14.84062729,46.88647807,213.4853784,50.81918078
333.2572525,926.7505711,60.00279706,41.01569675,5.61,279.8410748,22.75407945
759.3055119,536.3594909,10.05,64.31083228,5.61,342.1663481,73.97392989
10.32,475.7790633,23.71380161,77.9421511,56.7796627,145.1262628,61.55549799
998.99,717.9678535,55.95460784,56.73470052,67.71308354,492.2248324,26.97792856
632.2755074,704.1561633,35.53332088,5.423257867,51.68574033,12.93220016,62.5865412
537.6406595,420.4507442,54.97388445,30.45453616,85.63143731,33.56414409,42.53676807
454.3790676,553.4465159,62.77887153,23.44088781,74.73160175,328.3926983,90.73900794
389.3044355,631.6003867,63.65554938,103.6840588,74.95734924,319.6596095,12.62638326
731.6463873,192.4798031,52.77417758,28.061761,46.61358513,178.7421779,49.15216679
423.9148525,265.8856196,28.81082661,44.45016802,64.64827457,296.1315698,28.53559131
544.3494099,470.7886278,58.28203548,59.43648706,43.37150443,356.3282476,48.34442998
81.2668479,638.7734759,47.14279253,7.037533661,30.83449683,917.0528017,54.64501832
512.7488638,733.1027049,47.94042584,9.8495094,30.82658115,381.8337253,46.37264156
593.4790568,268.0256408,51.36874734,32.7397616,36.82088189,130.8979377,70.33005383
949.8830147,391.4566917,46.36957516,37.40585672,47.16849587,140.7702665,52.23865869
559.0283512,100.9702201,18.93681861,8.949214086,82.61332349,360.4470683,55.64674596
536.0584388,627.1879567,91.58058397,38.16443134,59.77328866,109.3100877,29.48074659
496.672706,273.0128366,94.33503958,17.98497044,69.73958749,906.2037022,89.49711171
552.1049226,535.2732668,43.49992766,33.72832595,68.20193026,147.3478156,43.13067747
232.7544714,646.4998506,17.66195273,40.94565968,89.56048796,534.9004606,92.53780723
635.2402912,318.9748925,69.28414041,37.47454617,40.16640702,428.9909412,97.0213536
332.8262969,216.2099645,51.02746224,26.72800576,53.67448759,366.8012943,35.77854876
518.484336,628.5869266,47.29070644,9.014114464,44.42932665,45.98645736,87.89476062
998.99,555.5625139,34.80468975,25.83990265,41.65751482,298.8576475,24.56871797
933.6941779,871.752337,67.85894354,27.23500767,74.58904327,171.3448945,76.14540337
637.3434003,655.5146024,17.93897848,66.08388697,73.95456168,39.8186328,37.18289905
855.6946665,443.3355392,52.2905688,52.66206579,27.50118398,464.3772019,54.75643516
539.9485879,699.2778648,50.55648037,49.67778782,103.49,318.8159194,62.01529952
242.6209119,551.1688977,64.60075285,10.16348427,50.63850765,201.3868204,93.54600331
