YearlyIncome,LoanPurpose,CreditRating,RequestedLoanAmount
163711,Home,758,16575.82004
139791,Home,702,10765.870048
167656,Education,531,16456.460087
29506,Home,354,59061.330002
127311,Home,814,21806.050036
84979,Education,360,8314.860046
58678,Car,493,62842.270047
55576,Home,670,16311.53002
96932,Home,675,41362.940093
95865,Business,411,22986.79003
169011,Car,679,54696.400008
89460,Home,596,59295.770029
56026,Home,689,16652.540045
90089,Education,351,62070.730099
48990,Education,843,58660.640056
82987,Education,758,36750.790026
194792,Personal,480,61584.790005
63609,Education,608,19713.100005
191681,Car,337,39900.860089
69106,Business,472,34662.100049
91610,Education,370,7360.040045
98718,Personal,848,7858.760007
127721,Home,669,37645.930074
144418,Car,675,37364.600068
121850,Personal,474,6989.190004
56861,Business,802,41026.190027
145430,Education,580,16013.150021
94441,Business,592,15066.850007
51006,Business,771,5301.190069
32765,Car,636,12909.970098
99280,Education,786,12539.120077
107659,Education,477,24939.070024
52280,Personal,637,60817.520042
131292,Personal,813,25237.460021
65055,Education,687,53387.780029
70740,Business,486,24031.130024
54122,Car,457,11059.990007
116906,Business,503,63588.230052
142780,Business,698,2249.160003
93769,Personal,542,54440.650015
126221,Personal,579,26196.540022
190496,Car,849,59913.850065
132996,Car,683,29120.700075
111152,Car,731,1388.110089
193159,Car,305,56418.500037
94375,Education,794,10527.16009
141014,Education,422,36277.630059
48018,Car,778,40749.120062
117483,Personal,767,34960.49006
180821,Home,605,39534.270085
87982,Car,527,49640.940051
117631,Personal,779,36780.620009
149597,Car,627,51094.490011
139783,Home,503,5514.320077
48283,Business,721,4862.140058
180892,Car,331,61627.42007
158326,Home,412,59095.43005
49108,Personal,604,9704.480025
45805,Business,728,7880.080065
174611,Car,551,62901.940043
63832,Education,694,4150.290039
192000,Home,376,26430.990077
111280,Personal,580,51631.580094
66495,Education,531,32164.210079
194556,Personal,538,39598.210004
23142,Home,757,27343.190017
103621,Business,321,58792.78004
68318,Business,652,13221.140044
103160,Education,615,43877.880045
81709,Home,681,7057.390045
117932,Business,462,26222.120052
155254,Business,577,18694.340073
43683,Home,534,56891.650017
142717,Car,674,59346.920018
169994,Personal,551,5318.240022
84358,Car,713,37816.440029
148669,Personal,573,33357.740052
175566,Education,714,18869.10007
97014,Home,660,64751.920033
79501,Business,348,45889.840089
78331,Education,622,42888.950049
167407,Business,504,22944.170088
71427,Business,512,39108.010089
199363,Personal,772,41998.070086
60622,Education,534,38097.770093
62920,Car,373,17210.95003
132851,Business,650,45263.230071
144587,Home,667,16976.500021
48327,Education,572,39687.730052
143882,Car,783,49440.600043
118618,Personal,324,35318.550087
60612,Personal,419,6916.730033
74864,Personal,463,44414.970039
144402,Home,316,21780.47002
188781,Car,684,4146.020088
175824,Home,404,25361.070045
192400,Education,606,24124.910097
175635,Car,766,18114.62007
113499,Car,540,13195.560004
188280,Business,321,43195.860072
23642,Car,481,20348.230043
157616,Business,703,20535.790093
148532,Personal,395,33643.340075
85681,Education,362,26580.180049
134445,Personal,590,4781.15008
107129,Personal,848,39487.390056
46270,Education,355,14794.040006
28918,Car,631,24887.920032
95695,Education,731,11315.750004
179868,Business,812,23852.100085
161063,Business,584,47940.160036
156098,Personal,700,22104.430081
176360,Business,423,26303.110099
152385,Home,313,13455.58003
79920,Business,717,47211.250065
191220,Car,579,24875.130066
140750,Personal,451,16776.160093
150202,Home,646,52876.270075
41315,Business,407,43447.360035
90393,Personal,580,61047.700019
100274,Personal,310,30339.810077
184792,Car,690,40050.050066
112611,Car,371,44559.900062
166907,Car,803,19772.780052
195194,Personal,667,47066.320099
177481,Home,546,26294.580033
179674,Home,508,7500.700035
32297,Personal,756,49206.150095
177857,Personal,553,11933.830005
194132,Business,395,10083.850088
183445,Car,483,5642.200061
158780,Car,718,9376.260084
87960,Business,358,24968.91001
93677,Education,733,64909.640094
26666,Home,399,55732.22004
186011,Home,304,14077.920027
55543,Business,603,55242.02009
149296,Car,671,57646.140088
119368,Car,716,16422.360009
49164,Personal,513,49491.750043
134175,Education,717,53711.740005
69762,Education,847,36350.100097
20565,Personal,533,39666.420003
49121,Car,786,6750.480035
168103,Business,667,38391.890017
159395,Home,790,48724.480062
138614,Business,823,16230.540031
86517,Home,594,5791.390096
80784,Education,370,7547.590027
157403,Education,496,13557.880071
167385,Home,594,51431.240016
82869,Home,449,40911.100052
38198,Business,549,30902.470028
138869,Personal,330,30373.910015
95632,Car,558,49334.030031
117367,Home,696,54142.26003
156240,Personal,656,64705.030012
116522,Personal,381,19107.810093
150947,Business,320,7969.590066
124791,Home,590,18327.750077
45729,Business,368,40975.040025
166191,Business,497,56465.390018
97651,Car,692,51682.73003
64844,Personal,610,54120.950029
37141,Personal,696,25595.520007
42425,Home,742,13860.530062
91465,Education,409,45646.870085
193998,Home,659,16904.040016
84834,Home,638,57778.280048
112249,Education,422,17432.600061
55702,Personal,420,27274.99003
42886,Business,589,1435.000011
57551,Home,483,52424.430079
55959,Home,821,35633.980012
89600,Business,790,62032.370072
92589,Car,760,51397.140092
48870,Business,601,36703.900074
139154,Education,302,5424.81007
107697,Personal,773,63319.680038
57382,Education,600,8447.000042
126968,Personal,461,21882.780015
168264,Education,478,45663.920044
151759,Home,557,18106.100003
113512,Personal,721,17718.200081
174806,Car,752,7773.51007
92872,Business,659,38950.300037
53788,Home,835,20898.110071
130344,Car,590,41951.180065
61793,Business,573,28933.140033
59367,Education,695,2232.110047
176446,Education,360,59730.560094
60036,Education,735,58400.620075
23570,Car,428,63882.350099
111010,Business,564,47684.4001
180204,Education,758,57808.120066
35111,Business,654,62556.670066
76058,Business,828,7931.230096
156898,Education,740,58187.490014
24094,Home,717,2509.180086
59572,Education,469,62194.350035
68130,Education,728,16426.620056
124672,Education,833,3425.640039
148399,Home,454,4909.030055
119703,Car,750,20403.65008
163761,Personal,566,25655.190041
137717,Education,806,13617.560086
131761,Business,783,40331.38009
62925,Personal,794,34406.350016
159552,Education,474,47906.060014
110190,Personal,304,60510.620065
130719,Business,410,34018.45003
114866,Home,423,7743.670055
160459,Personal,730,60207.970001
95109,Personal,838,6972.140062
90082,Home,360,7534.800031
160904,Education,510,60178.130049
133615,Home,504,34231.580065
159802,Personal,312,23818.000073
153075,Business,561,7935.490018
191883,Home,486,11776.110028
37225,Home,799,10505.85006
38994,Car,396,3088.890028
122728,Home,781,15032.75002
152962,Home,544,55114.140051
178547,Home,563,2628.530028
53987,Business,807,49074.01003
133944,Business,400,13664.450095
163921,Education,344,22496.590076
148494,Business,421,63217.380056
47644,Business,534,32151.420091
193481,Business,398,2534.750059
64027,Car,396,44308.410023
134947,Education,802,36388.460083
93869,Car,547,47368.97003
51803,Home,477,1213.340052
21613,Education,770,27918.640067
69954,Home,468,50698.070095
129556,Car,525,58843.930046
167123,Car,469,4030.930025
79136,Personal,648,27858.970072
195389,Car,405,17867.390023
24809,Personal,413,4576.550091
71024,Personal,533,50220.660045
23672,Business,361,10996.050008
34622,Car,523,25433.540092
105260,Personal,358,52718.550061
44002,Personal,655,54022.910048
75024,Home,712,33157.400006
41737,Car,517,32569.16004
129049,Education,419,28029.470046
122168,Home,366,22155.580055
190510,Education,357,53698.950077
155579,Home,439,59065.590003
184996,Home,463,63119.340018
87748,Business,710,45207.82006
51802,Home,418,54666.570076
157375,Home,450,19730.150054
105001,Business,456,35676.610097
113546,Business,300,58285.530034
115970,Home,827,21899.830001
62672,Car,526,37701.350025
66554,Personal,343,26933.980097
74802,Personal,557,30906.740019
28643,Education,463,18310.700089
87089,Personal,606,29866.660033
91650,Education,528,21989.340074
152078,Personal,548,47859.170066
124273,Car,587,49999.000042
62508,Personal,539,38025.310061
142726,Personal,526,19406.190018
90544,Education,775,21230.590099
180760,Personal,828,60387.000059
117890,Car,806,17372.930093
146139,Business,419,6358.320069
148688,Education,532,21281.750087
84299,Personal,361,7300.360067
46533,Personal,641,62317.96003
44286,Personal,307,53502.870068
86432,Education,749,60365.690056
180070,Education,365,21754.900036
174348,Education,576,48566.760094
89412,Business,558,62147.460014
38922,Business,767,48302.480047
52488,Education,784,17799.190017
184677,Personal,741,46465.290044
145524,Business,755,2308.840073
104109,Education,716,10915.060031
98560,Car,689,39346.720048
96996,Business,343,47539.470008
122154,Personal,758,62445.840061
136220,Business,627,28660.340095
112296,Education,425,62701.600009
125567,Car,774,57352.020067
114159,Education,330,51277.790099
137541,Business,402,27692.720022
179083,Car,640,8425.690041
102570,Business,695,57092.000018
137982,Personal,531,55016.10001
140863,Business,624,29061.020088
79625,Home,395,60659.810036
112529,Business,827,14968.810084
96619,Education,353,47241.090086
169051,Education,704,10250.090013
181541,Education,702,6950.830052
83919,Business,402,24559.700053
37465,Personal,521,11852.840061
58829,Car,338,55578.770006
43053,Personal,350,33067.880037
146076,Home,328,26614.280052
39307,Home,838,6426.520069
31928,Business,810,10135.000082
195015,Car,699,58767.20001
107983,Business,324,30011.590046
56820,Personal,372,58818.360036
160472,Home,354,27714.040084
72547,Education,302,63720.370005
95882,Education,468,29939.120094
42182,Personal,555,43391.940001
67142,Home,418,30442.110026
102963,Home,785,50923.99006
115921,Home,680,49069.750014
199235,Home,616,39095.220061
28621,Car,351,64031.540044
104557,Car,762,37662.990052
187090,Car,800,62684.550059
159390,Education,326,34875.230038
158013,Education,688,11200.660037
129244,Home,785,41435.40008
82234,Car,703,31119.870078
119338,Personal,435,41759.360059
44076,Car,812,60340.110093
104995,Education,303,43345.05001
34619,Car,592,31030.350065
113693,Personal,371,54380.970005
79937,Education,350,53886.5101
106416,Personal,540,36030.400051
90774,Personal,326,26806.100095
101723,Home,688,30753.280083
69032,Home,365,57710.080021
32351,Home,569,27739.610035
130060,Personal,842,32782.29006
130313,Car,607,32006.490096
154987,Business,703,53733.050028
27346,Business,435,18587.77009
61954,Home,439,5868.120059
199789,Home,686,23570.770004
159496,Education,800,34035.500074
129964,Business,744,55207.920012
123847,Personal,632,44760.240094
112457,Personal,519,49065.490011
176076,Home,465,24576.750043
121898,Business,803,4542.450074
50338,Personal,410,63596.750072
72392,Business,571,17010.600069
183956,Car,529,33579.400045
168135,Car,300,52317.860024
126373,Business,517,53076.610063
146091,Business,449,6388.16008
160707,Business,812,19943.280083
96725,Personal,360,37590.520077
81182,Business,765,31904.190086
21145,Personal,356,50557.400005
24893,Education,613,42871.900064
146767,Personal,787,50088.520038
133854,Education,468,62509.780004
117182,Home,646,12048.920071
111942,Home,824,60706.700079
48093,Education,804,32232.410007
186150,Personal,764,41094.39003
130843,Business,633,51495.180067
106523,Car,782,24056.710097
161368,Personal,842,12956.850094
94168,Car,457,28391.790026
21260,Personal,697,25710.61005
22200,Business,380,12453.870034
28535,Personal,436,43221.440015
169723,Education,366,38596.500036
68944,Home,498,15109.480007
198244,Business,511,60254.860096
152427,Home,748,21737.850007
152538,Personal,792,42518.110002
137536,Education,547,3042.010007
127897,Personal,582,49589.790076
32186,Business,711,20454.800029
20707,Personal,528,35949.410068
191679,Personal,566,9576.600049
101093,Personal,734,18553.670034
34234,Education,546,41908.550026
165086,Personal,491,38472.880009
142177,Education,419,21072.880078
83002,Education,533,2458.03001
46756,Home,698,17228.000026
71888,Personal,750,33042.310061
86317,Car,429,8186.990082
101153,Education,447,22257.890055
78596,Education,640,4397.520002
182821,Car,742,43813.940014
135115,Personal,347,62573.720015
57658,Car,336,44956.320031
59988,Business,450,5420.550008
159282,Education,312,7210.850003
166003,Car,792,48524.130047
179230,Education,647,7551.860041
123869,Personal,827,39073.910098
79396,Education,689,40881.26002
139631,Car,337,32914.43004
115789,Business,602,45033.050023
96189,Car,445,22534.960052
88152,Business,337,14218.590001
21840,Personal,664,1729.120004
157950,Home,521,42961.420099
128446,Business,688,7377.090007
34667,Car,301,31098.55009
175854,Education,476,39755.930061
137807,Home,544,13655.920073
28234,Home,686,2862.980008
143749,Personal,550,60024.680043
32140,Personal,486,60676.86005
64107,Car,322,47219.770085
178230,Home,387,19397.670088
50712,Car,492,51371.560024
48132,Car,841,58306.840075
135386,Car,320,18391.690028
33235,Business,610,63085.240047
146151,Car,844,58102.240089
73480,Business,425,17125.69004
155937,Car,752,23971.460045
183695,Business,656,33127.560084
72372,Home,456,4955.920002
118278,Business,510,39811.340032
89865,Business,311,32283.560005
122048,Personal,383,58865.240093
79749,Car,753,48315.270083
71469,Personal,625,39802.820058
108407,Home,687,5731.720076
45521,Education,632,5501.54008
95169,Car,321,37697.090069
37560,Home,403,18979.930082
61600,Home,600,59960.740047
172275,Business,452,47458.480007
108422,Personal,351,5369.400092
141403,Personal,339,63677.740001
88879,Business,548,46507.920018
182231,Car,492,29440.400013
53495,Business,775,22432.650053
121632,Car,501,37684.300015
57797,Business,847,26916.930054
134450,Home,815,11720.700045
123387,Car,449,19103.550041
114550,Personal,826,28383.270047
111661,Car,780,10395.020011
137777,Personal,478,34350.930038
104051,Car,482,60715.220039
72126,Personal,663,35020.160073
199066,Personal,455,20250.190063
94392,Business,387,20927.950073
71772,Personal,305,54410.81
171178,Business,806,42573.520035
34797,Personal,659,3007.900022
126922,Car,519,15373.760069
63505,Car,682,57074.95
88781,Business,820,48340.840036
33912,Business,326,59743.340079
109147,Education,818,58166.180018
127610,Education,381,22232.31
20957,Personal,765,57011.01
32850,Home,802,27790.760076
87871,Home,581,29133.490025
148469,Car,311,15842.65004
62557,Business,778,55911.250021
155010,Personal,577,25702.080097
37903,Education,777,61005.080015
78069,Home,823,57343.490046
113118,Home,700,29679.100009
102728,Car,670,23157.30008
127931,Car,580,3221.040099
159111,Car,744,2884.290008
81087,Home,809,13208.350028
146422,Car,324,48515.610002
61348,Personal,438,49116.64002
106233,Car,613,54602.630011
133227,Car,733,62313.700059
150146,Home,588,43374.890087
66577,Business,452,62739.960056
118311,Business,499,36742.260066
77968,Business,561,44103.800017
117215,Education,437,11158.030082
42664,Home,556,1128.090051
58391,Home,578,50570.190076
82880,Business,369,30659.500036
181004,Business,392,4857.880018
123448,Personal,488,22475.280038
129821,Home,608,21690.960038
53409,Personal,509,59790.230069
136221,Education,523,12129.910071
99644,Home,333,52015.220045
66352,Education,491,40365.480093
112144,Home,416,52987.100059
189425,Education,646,11801.680083
148225,Home,605,16793.210032
166196,Business,448,55779.110008
150589,Car,695,10002.860098
138166,Car,305,49662.25001
137691,Personal,432,27526.48008
26486,Home,717,11004.580094
87076,Personal,646,63524.290054
198414,Personal,669,34615.210089
25546,Personal,842,49257.300036
153819,Business,523,35476.260066
104805,Home,824,11294.430049
104904,Education,327,56111.590044
191001,Car,328,5535.640098
105290,Car,772,29086.600047
57442,Personal,517,12586.01003
113551,Business,785,64415.170077
91870,Personal,607,31256.270059
94394,Business,607,23962.930065
112247,Education,653,52727.080027
166520,Home,516,15966.260085
195731,Personal,571,52113.260077
65367,Car,770,23762.590057
24777,Home,774,40634.03009
197612,Business,521,23268.130047
191671,Business,813,35071.310065
179885,Car,318,29956.170083
156767,Business,311,14410.410054
49128,Home,394,63754.470034
155238,Personal,751,24308.200051
124083,Education,496,17466.700081
51220,Home,350,24257.050041
32193,Car,527,39193.270085
71911,Education,543,61358.880061
82893,Car,641,9589.390091
23440,Education,324,26004.730042
83523,Home,504,30177.830012
51166,Business,841,1537.300011
155854,Education,516,50297.380087
136964,Education,693,46439.710054
112463,Personal,622,13510.990008
127863,Education,721,53895.030004
33682,Business,711,49018.600061
122042,Business,495,35642.500028
192326,Education,325,2176.690091
79176,Business,809,16196.440006
149294,Personal,526,13962.830007
33284,Education,649,16558.770043
121482,Education,596,12219.420039
91711,Education,398,40621.240054
23289,Business,332,26503.450065
191301,Business,497,21546.030082
94731,Education,312,12134.170006
58770,Business,838,51981.120095
30950,Personal,445,21686.690098
181468,Car,721,16554.500049
74250,Business,506,63664.95002
105204,Car,427,20748.920012
134466,Business,485,36073.030055
159677,Education,593,60860.150003
143230,Home,627,44943.540091
32091,Home,676,46742.360018
185655,Personal,646,46767.940036
133418,Business,708,24781.360065
149835,Personal,416,48997.290038
37309,Business,301,27130.06003
109081,Business,363,12747.990035
151822,Business,653,1093.990029
27247,Business,314,42249.56004
42436,Personal,729,60335.850074
50142,Car,779,38008.260014
82908,Home,664,60118.45008
195820,Home,411,11072.780001
128782,Business,848,27198.260088
25973,Home,607,34734.570041
157124,Education,355,52074.900028
156866,Car,770,64943.740068
149780,Education,735,8698.50003
95015,Education,412,36337.310002
142078,Education,532,4879.190034
165867,Home,656,40391.06005
136642,Home,568,55536.140017
192974,Personal,306,45979.350016
92492,Home,601,49172.050066
160241,Home,815,9900.56005
81060,Home,654,50646.920027
23162,Car,528,40514.680028
189215,Business,527,10454.70003
69793,Home,499,7726.62001
177309,Education,722,40727.810037
27802,Education,360,49133.690071
26051,Home,690,44930.7501
191397,Business,716,36857.350038
34980,Business,645,24593.800069
107739,Business,785,6328.480003
64402,Personal,730,11750.530072
65232,Car,670,32121.580036
110222,Business,349,33327.900039
89763,Business,777,24981.700076
191083,Business,469,15028.49009
110516,Education,673,15173.420077
95649,Car,618,58890.820097
111610,Business,462,49103.850097
95410,Home,646,55783.370052
51617,Car,628,43050.930093
42968,Education,710,30135.200051
189872,Business,602,22709.720004
152236,Personal,305,40173.67
31643,Car,741,53814.040045
127872,Personal,747,49547.160004
157810,Home,515,3604.67005
145535,Business,575,28072.10006
194633,Education,752,60608.660084
97696,Business,614,54172.100068
178522,Business,761,55681.07002
32078,Business,366,15838.380049
115153,Education,574,54346.870016
57303,Home,445,1942.250065
20670,Car,728,24410.510092
108286,Business,589,46337.410037
119470,Home,553,47799.490094
120702,Home,524,36691.110016
82965,Personal,516,57603.510054
46463,Personal,469,2406.880061
28705,Business,321,49837.020099
87244,Car,792,53643.540079
54395,Business,630,33562.350033
38388,Education,510,17841.810016
191309,Education,374,25032.850006
195007,Car,642,37978.42005
151223,Education,322,10207.470035
158974,Personal,499,27833.390095
187231,Business,779,37292.140065
92068,Business,771,63051.140026
172029,Personal,438,55374.160005
147477,Car,402,26375.570015
66495,Personal,632,8553.570039
86846,Car,512,53515.660019
166645,Car,306,42194.150025
145043,Business,521,17905.750058
195302,Personal,315,57292.340082
24563,Business,749,39457.550066
101531,Home,751,10693.400038
127208,Education,487,25578.460017
40514,Personal,655,30378.170051
67216,Education,575,56938.540065
175575,Personal,543,42270.870033
176017,Education,557,40280.230006
28213,Car,609,16827.310001
108172,Car,307,20365.280017
119587,Education,686,25774.550042
156839,Car,681,5799.920081
40363,Home,340,54636.73008
108941,Business,522,6652.440022
49167,Business,700,38903.41001
43400,Education,497,59005.910015
37712,Education,804,53686.160077
179174,Education,385,27215.310049
115990,Personal,765,34700.47008
60717,Car,457,47428.640008
30570,Car,564,14312.370027
158467,Business,445,1814.370053
87843,Personal,451,64615.520091
110232,Car,344,32969.840085
165748,Home,419,62219.920084
141534,Car,737,24346.570001
119922,Education,557,29350.880069
192558,Personal,720,18924.520013
107626,Business,469,19056.660091
172596,Car,806,53033.980007
39292,Business,798,58281.270096
62738,Education,453,14713.050023
112056,Business,402,35898.260029
185274,Personal,438,12419.760037
125156,Personal,769,45727.860025
71745,Personal,636,18233.970087
197382,Home,526,56550.640025
100430,Home,648,30408.010081
115498,Personal,486,46844.660056
51357,Business,566,10923.590095
180553,Home,731,2602.960068
160527,Home,483,21597.18005
124563,Education,603,10880.960013
111973,Business,756,15314.080008
115079,Home,364,40732.070065
138526,Car,524,11673.810076
198973,Home,794,44299.880042
39320,Personal,329,56350.300009
125580,Personal,593,34274.200032
42195,Car,754,14892.080069
146496,Personal,433,48826.780067
198307,Education,747,32385.86007
127372,Personal,381,37513.790088
113795,Car,609,12816.190068
158668,Home,738,21601.44008
117319,Business,810,14504.180049
198170,Education,634,23792.430096
68125,Personal,778,24043.920025
75509,Personal,319,34197.480049
22755,Home,495,30795.910047
116417,Personal,437,17453.920055
151376,Business,449,62795.380072
75856,Personal,715,25135.150063
121634,Home,791,18259.550033
113064,Car,398,5646.470017
31089,Home,773,42543.680068
25554,Business,825,18984.200004
160336,Education,792,41789.200062
170890,Business,721,56750.990082
180185,Education,492,33945.98001
77631,Business,395,61635.950044
182563,Car,721,18076.260015
148800,Car,818,7607.270055
123752,Personal,424,22671.360011
168485,Car,434,28681.65003
179723,Car,428,33549.560098
139016,Personal,368,6234.710064
37661,Business,493,6801.630028
176603,Home,305,14687.480044
53803,Business,544,8344.700014
70093,Education,352,36392.730079
157082,Business,333,47931.630088
137424,Education,504,46652.850054
91405,Home,475,41955.440077
158386,Business,810,40433.69002
188137,Car,809,22283.460098
190785,Business,490,47287.980071
148873,Business,543,36622.91002
107709,Car,688,2654.11008
56570,Car,448,64743.390015
140729,Personal,667,25275.820068
49433,Business,349,42880.430068
70190,Home,497,37074.740096
122910,Home,733,9627.750056
85047,Education,352,45182.240096
86274,Education,829,2338.670008
90260,Personal,414,26162.440063
136027,Education,595,38877.830032
84500,Home,517,47897.530056
64754,Home,610,48967.450055
33095,Personal,482,58716.05008
143277,Education,535,44210.370004
84054,Home,827,58652.110013
161910,Car,558,33084.930035
62708,Personal,738,17407.030097
78097,Home,641,51789.30002
24110,Car,525,4977.230014
153648,Education,497,35118.200069
66859,Car,635,31469.400072
116958,Car,563,46064.600059
108243,Business,500,13033.580093
138758,Business,744,10522.900005
78807,Education,743,62931.78004
103405,Business,629,59069.850048
60962,Business,816,49167.790013
136728,Home,381,1652.390091
68605,Education,763,50757.750034
56107,Home,835,58217.330093
157917,Education,334,35599.880041
104575,Personal,651,43264.06001
89255,Home,366,6767.530087
96502,Car,497,61844.810042
78080,Personal,636,14248.430043
93389,Personal,849,14742.890016
185037,Home,825,9337.890074
42579,Personal,818,23259.600006
131338,Home,441,2517.700016
186349,Education,773,12436.810027
177679,Home,586,52970.040043
185432,Car,722,57121.83001
76165,Education,742,27355.980059
146353,Personal,493,35531.680044
24374,Education,739,8319.130006
179075,Business,389,60851.620052
181047,Car,461,45527.510097
52438,Personal,833,43298.170028
103030,Home,756,58319.630023
176747,Home,378,31222.170062
71718,Education,682,54845.600074
23081,Home,371,64142.370025
184617,Personal,798,44862.55001
45498,Car,827,1072.680018
102047,Business,801,58417.670084
97237,Business,691,51627.320083
109393,Education,385,53818.310096
158385,Education,593,3284.980056
25134,Home,841,33101.980064
127785,Personal,623,11469.200035
123863,Car,759,14683.210075
145946,Home,306,35314.280003
147889,Business,344,19482.920064
100716,Car,380,28545.250035
199104,Education,507,16695.170039
107180,Home,571,8442.740001
147420,Home,385,20923.690088
21664,Personal,306,36371.410084
89600,Home,363,15360.970032
48313,Personal,574,23873.420069
60284,Car,830,22112.96004
138341,Personal,553,56725.41004
70539,Personal,374,41738.050065
146277,Car,410,3434.17009
137048,Home,423,45940.99001
153817,Home,501,1145.140017
198990,Personal,348,54155.050014
93797,Education,635,1528.78009
188094,Education,447,13016.53005
135472,Car,492,53976.020083
89508,Personal,311,7279.050057
105498,Car,381,61418.550003
120992,Education,762,27483.85005
100077,Home,768,59265.930044
170935,Education,302,52411.640012
136712,Home,331,54355.400079
27741,Personal,618,4964.450054
138211,Personal,370,2547.540039
177482,Education,375,60693.910009
178743,Personal,677,63277.050063
34584,Personal,682,45987.88004
198905,Home,426,4133.240067
118719,Personal,314,13003.740016
171831,Personal,829,13732.650055
88349,Education,514,40416.640049
28843,Car,837,1349.750012
102869,Car,544,17296.200035
72240,Personal,472,10961.950011
64061,Home,732,2760.670032
37151,Business,764,35629.720063
186435,Personal,367,19193.060044
145090,Personal,663,52224.090021
83359,Business,624,16025.940027
178558,Home,565,26111.29008
139054,Personal,490,18046.420033
99216,Home,680,11661.020098
171260,Business,528,18886.160073
140497,Education,545,8459.790026
155544,Education,662,33195.760095
28987,Home,469,44338.240092
154244,Personal,489,14048.080008
197673,Education,583,40301.550091
51890,Home,410,27253.670074
50235,Personal,763,40011.690054
186679,Education,487,48728.740013
67717,Business,670,18604.820095
40979,Business,599,59820.070096
180694,Car,344,40591.400073
67212,Business,463,41460.980036
115286,Business,741,1443.520064
41099,Education,423,10045.490088
153818,Car,707,48153.290072
21015,Personal,510,59300.030097
187302,Business,515,36639.960005
97627,Business,706,34342.410057
46201,Personal,332,15416.38007
80479,Business,513,18493.990043
101627,Education,702,20054.110016
96314,Home,450,25855.530036
121848,Home,656,57040.840011
30956,Education,692,2206.530089
78062,Home,395,42501.060078
29785,Car,685,53664.850025
163673,Home,659,9960.23004
112264,Car,509,16405.310014
31084,Business,683,49564.210001
161492,Personal,745,51209.580013
129989,Car,785,10821.280057
71416,Home,693,14291.050088
109182,Personal,620,49496.010092
160059,Car,326,19495.71006
22282,Personal,800,39738.880014
108013,Home,367,6238.97004
162884,Home,740,8353.23003
114682,Education,415,25680.770082
